,mvt,rbk_str
0,L0 F0 R2 B1 D1 L1 F1 D0 B2 U1 ,oorgwrywbrggrrwgbwrowygygwwygobywbggbobrooyyoybwrbbryo
1,F0 R2 B1 D1 L1 F1 D0 B2 U1 ,oorbwrwwbrggrrwgbwoowggyywwrgoyywgggyrbyoooobybbrbbryy
2,R2 B1 D1 L1 F1 D0 B2 U1 ,oorbwrbobwggwrwbbwygowgowywgrryywgggyrryogoooybbrbbryy
3,B1 D1 L1 F1 D0 B2 U1 ,oorbwwbogwbbwrwggwygrwgrwyygrryyrggbyrryogooowbbobboyy
4,D1 L1 F1 D0 B2 U1 ,oyybwwbogwbowroggrygrwgrwyygrryyrwwbgrrgogboobbybbywoo
5,L1 F1 D0 B2 U1 ,oyybwwbogwbowrowooygrwgrggrrrbrywgywgrrgogwyybbybbyboo
6,F1 D0 B2 U1 ,yyywwwgogwbowrowoorgrrgrggrorbyywyywrgyroyggwbbbbbbboo
7,D0 B2 U1 ,yyywwwwwwbborroooorrrgggrrgyywyywyywrggroogggbbbbbbboo
8,B2 U1 ,yyywwwwwwbborrorrgrrrggggggyyyyyywwwrggrooboobbbbbbooo
9,U1 ,wwwwwwwwwbbbrrrrrrrrrggggggyyyyyyyyygggooooooooobbbbbb
10,F1 U0 B0 D0 F0 R0 D2 B2 R1 L1 ,ryrrwrywbwggbryogwbgorgorbygwgoyyyoowwoboybwwyobbbrggr
11,U0 B0 D0 F0 R0 D2 B2 R1 L1 ,ryrrwrwbogggwryggwooyggbbrroywoyyyoowwbbowbwyyobbbrggr
12,B0 D0 F0 R0 D2 B2 R1 L1 ,wrrbwyorryobwryggwgggggbbrroywoyyyooooybowbwywwbbbrggr
13,D0 F0 R0 D2 B2 R1 L1 ,bywbwyorryoowroggygggggbbrroywoyyobbroyrowwwygbwgbwrrb
14,F0 R0 D2 B2 R1 L1 ,bywbwyorryoowrobrrgggggbwwyooobyybywroyrowrrbgbwgbwggy
15,R0 D2 B2 R1 L1 ,bywbwybwyooorrorrrwggwggybgbwybyybywrooroorrogbwgbwggy
16,D2 B2 R1 L1 ,bygbwgbwgrrorroroowgywgyybwbwgbygbygrooroorroybwybwwgy
17,B2 R1 L1 ,bygbwgbwgrrorrorrowgywgywgygybgybgwbrooroorooybwybwybw
18,R1 L1 ,bwgbwgbwgrrrrrrrrrwgywgywgygybgybgybooooooooowbywbywby
19,L1 ,bwwbwwbwwrrrrrrrrrwggwggwgggyygyygyyooooooooobbybbybby
20,R2 F0 D2 U0 L2 D2 R0 F2 L2 U2 ,bbowwywoyoowrrwwgyrwgogyogoyogwyywyryggrobrrbbrrbbggbb
21,F0 D2 U0 L2 D2 R0 F2 L2 U2 ,bbgwwyworygwwrrwoorwgogbogbyoowyywyyyggrobrrborrybggbb
22,D2 U0 L2 D2 R0 F2 L2 U2 ,bbgwwybbgwgworrroooorggwbbgwwywyywyyygyroorroorrybggbb
23,U0 L2 D2 R0 F2 L2 U2 ,bbgwwybbgwgworrrrooorggwgbbyywyywywwygyroorooorrybgbbg
24,L2 D2 R0 F2 L2 U2 ,bwbbwbgygorrorrrrowgwggwgbbyywyywywwoorroorooygyybgbbg
25,D2 R0 F2 L2 U2 ,ywbywbyygorrorrrroggwggwybbbywbywgwwooroorrooyggybgbbw
26,R0 F2 L2 U2 ,ywbywbyygorrorrrooggwggwbbwwwgwybwybooroorrroyggybgybb
27,F2 L2 U2 ,ywwywwyywrooorrorrgggggbbbbwwywyywyyooroorrrogggbbgbbb
28,L2 U2 ,ywwywwywwooorrrrrrbbbbgggggwyywyywyyoooooorrrgggbbgbbb
29,U2 ,wwwwwwwwwooorrrrrrbbbggggggyyyyyyyyyrrroooooogggbbbbbb
30,D2 R0 B1 D0 L2 U1 F1 B1 D1 U0 ,ryoywgbwobobbrbggorgwrgrbooyyyoyryyggbwwowrwryrwobbwgg
31,R0 B1 D0 L2 U1 F1 B1 D1 U0 ,ryoywgbwobobbrbrwrrgwrgrwgggyyryoyyygbwwowggoyrwobbboo
32,B1 D0 L2 U1 F1 B1 D1 U0 ,rywywrbwgrbbwrorbbrgyrgowgygybryoyyygbwwowggoorwgbbooo
33,D0 L2 U1 F1 B1 D1 U0 ,gwgywrbwgrbrwryrbwrgyrgowgygybryobobybwyowygowborboogo
34,L2 U1 F1 B1 D1 U0 ,gwgywrbwgrbrwrywgyrgyrgoygobrgoyybobybwyowogowborborbw
35,U1 F1 B1 D1 U0 ,bwgowrbwgrbrwrywgywgyogoogogrgyyybobogowoywbywbyrbrrbr
36,F1 B1 D1 U0 ,grgwwwbobwgywrywgyogoogoogogrgyyybobwbywoywbyrbrrbrrbr
37,B1 D1 U0 ,grgwwwwwwggyrryggyooogggoooyyyyyybobwbbwoowbbrbrrbrrbr
38,D1 U0 ,wwwwwwwwwgggrrrgggooogggoooyyyyyyyyybbbooobbbrrrbbbrrr
39,U0 ,wwwwwwwwwgggrrrrrroooggggggyyyyyyyyybbboooooorrrbbbbbb
40,D1 L0 F0 R0 D2 B1 U2 D2 L2 B1 ,wybbwgboogyyorrwbgyyywggowobggoywggybrrroorbwobrybwrrw
41,L0 F0 R0 D2 B1 U2 D2 L2 B1 ,wybbwgboogyyorrrrwyyywggwbggwygygbogbrrrooowoobrybwrbw
42,F0 R0 D2 B1 U2 D2 L2 B1 ,wybwwgroogyyorrrrwwyybggbbgywywygwogorbworoorobbybgrbg
43,R0 D2 B1 U2 D2 L2 B1 ,wybwwgrrbryyorrorwbbwbgyggyrogwygwogorywowooyobbybgrbg
44,D2 B1 U2 D2 L2 B1 ,wywwwyrryoorrrywrybbgbgggggrorwyywooorywowooybbbgbgbbg
45,B1 U2 D2 L2 B1 ,wywwwyrryoorrryooybbgbggbbgoowyywrororywowwrybbbgbgggg
46,U2 D2 L2 B1 ,wwowwyrryoowrryoowbbgbggbbgoowyywyyrrryoowrrybggbbgbgg
47,D2 L2 B1 ,yrrywwowwrryrryoowbggbggbbgoowyywyyroowoowrrybbgbbgbgg
48,L2 B1 ,yrrywwowwrryrryrrybggbggbggryywyywoooowoowoowbbgbbgbbg
49,B1 ,rrrwwwwwwrryrryrrygggggggggyyyyyyooowoowoowoobbbbbbbbb
50,D0 B1 U0 R0 F1 U2 D0 F2 L2 U2 ,ybyywrwwboggorwogbroyrgywwwggboyobwwgggboyrbooyrrbrrby
51,B1 U0 R0 F1 U2 D0 F2 L2 U2 ,ybyywrwwboggorwwwwroyrgyrbobogwygwobgggboyrbyoyrrbrogb
52,U0 R0 F1 U2 D0 F2 L2 U2 ,rbgywrwwbogyorbwwyroyrgyrbobogwygwwgwggooybbyrrbybgoro
53,R0 F1 U2 D0 F2 L2 U2 ,wyrwwbbrgrrborbwwyogyrgyrbobogwygwwgroyooybbywggybgoro
54,F1 U2 D0 F2 L2 U2 ,wyywwybroworwrrybboggrggrbgboowyywwwroyooybbygggbbgrro
55,U2 D0 F2 L2 U2 ,wyywwywwyoororrbbbgggggborryyywyywwwroooorbbbgggbbgrro
56,D0 F2 L2 U2 ,ywwywwyywrooorrbbbgggggborryyywyywwwooroorbbbgggbbgrro
57,F2 L2 U2 ,ywwywwyywrooorrorrgggggbbbbwwywyywyyooroorrrogggbbgbbb
58,L2 U2 ,ywwywwywwooorrrrrrbbbbgggggwyywyywyyoooooorrrgggbbgbbb
59,U2 ,wwwwwwwwwooorrrrrrbbbggggggyyyyyyyyyrrroooooogggbbbbbb
60,F0 L1 U1 R2 F1 D0 L0 F1 B0 L2 ,ygbywobwyogowroorgobgbgggogwwwrywwbyroygorryrwybbbrryb
61,L1 U1 R2 F1 D0 L0 F1 B0 L2 ,ygbyworrybgowroyrggboogbgggoworywwbyrowgowrywwybbbrryb
62,U1 R2 F1 D0 L0 F1 B0 L2 ,ggbowogrybgowroyrgoborgbwggbworywbbywwwooyrgrwyrbbyryy
63,R2 F1 D0 L0 F1 B0 L2 ,boygwrgogobowroyrgwwwrgbwggbworywbbywyrooyrgrbgobbyryy
64,F1 D0 L0 F1 B0 L2 ,boogwwgoygryorwobowwrrgbwgbbwyryrbbgwyrooyrgrggobbywyy
65,D0 L0 F1 B0 L2 ,boogwwgooyrywrwbborbbwggwrwryrryrbbgwyyooorggggobbywyy
66,L0 F1 B0 L2 ,boogwwgooyrywrwwrwrbbwggrggbrrbyygrrwyyooowyyggobbybbo
