,mvt,rbk_str
0,L1 U0 R1 D1 L1 F2 D0 R1 U0 B2 ,bgwywbwboyogorrrggorbwgworygybyywrwwrgboorgbyrowgbyoby
1,U0 R1 D1 L1 F2 D0 R1 U0 B2 ,ogwwwboboyogorrrgggrbygwrryyybyywwwwbrygobrogrowgbyobb
2,R1 D1 L1 F2 D0 R1 U0 B2 ,owobwgobwroworrrggyogygwrryyybyywwwwgrbgobrogbrygbyobb
3,D1 L1 F2 D0 R1 U0 B2 ,owobwgobbwrgorgroryooyggrrwyygyywwwygrbgobrogwrywbybbb
4,L1 F2 D0 R1 U0 B2 ,owobwgobbwrgorgbbbyooyggrorgwyyywyywgrbgobrrwwrywbyrog
5,F2 D0 R1 U0 B2 ,ywoywgrbbwrgorgbbbgooyggyorgwyyywyywbbwrorggrwrowbbroo
6,D0 R1 U0 B2 ,ywoywgywgrrgrrgwbbroyggyoogbbryywyywbbbrooggwwrowbbroo
7,R1 U0 B2 ,ywoywgywgrrgrrgoogroyggyggwyybyybwwrbbbrooroowrowbbwbb
8,U0 B2 ,ywwywwywwgggrrorrorooggggggyyyyyywwwbbbrooroorrobbbbbb
9,B2 ,yyywwwwwwrrorrorrogggggggggyyyyyywwwroorooroobbbbbbbbb
10,L1 B2 R0 U1 L0 R2 D2 L2 R0 F1 ,brgbwwbwoyrybrogrgyobogwwbooyygyygbrrrryogwwbrgwybgwoo
11,B2 R0 U1 L0 R2 D2 L2 R0 F1 ,yrgowwwwoyrybrogrgoobggwgbooyygyywbrrgbrowrywrgbybbwob
12,R0 U1 L0 R2 D2 L2 R0 F1 ,rbwowwwwoyrrbrrgrroobggwgbooyygyygryggboowyywbowbbybgr
13,U1 L0 R2 D2 L2 R0 F1 ,rbbowwwwogbyrrrrrrooyggygbyoybgybgrbggboowyywoowwbywgr
14,L0 R2 D2 L2 R0 F1 ,bwobwwrowooyrrrrrrggbggygbyoybgybgrboowoowyywgbywbywgr
15,R2 D2 L2 R0 F1 ,rwoywwyowooyrrrrrrbgbbgyrbygybgybgrbyooyoowwwgbgwbgwgo
16,D2 L2 R0 F1 ,rwbywbyobrrrrrryoobgwbgwrbggyogywgrwyooyoowwwybgybgbgo
17,L2 R0 F1 ,rwbywbyobrrrrrrwwwbgwbgwbgowrgwygoygyooyooyooybgybgrbg
18,R0 F1 ,wwbwwboobrrrrrrwwwggwggwggorrgyygyygooyooyooyybbybbrbb
19,F1 ,wwwwwwooowrrwrrwrrgggggggggrrryyyyyyooyooyooybbbbbbbbb
20,R0 L1 F2 R1 L0 F0 R2 U1 B1 L0 ,ggywwybobrrryrrgowwywrggybwryoryboogygowowbbbgoogbbrwy
21,L1 F2 R1 L0 F0 R2 U1 B1 L0 ,ggwwwgbowgyrorrwrrwyorgbybgryrrygoogygowowbbbbooybbywy
22,F2 R1 L0 F0 R2 U1 B1 L0 ,wgwrwgyowgyrorrwrrryorgbobgyyrbygoogowbgobywbbobybwywg
23,R1 L0 F0 R2 U1 B1 L0 ,wgwrwgryybyrbrrbrrgbobgroyrwoybygoogowwgooywgbobybwywg
24,L0 F0 R2 U1 B1 L0 ,wgyrwyrybrrryrrbbbgbwbggoyywoobyroorowwgooywggobgbwywg
25,F0 R2 U1 B1 L0 ,ggywwybybrrryrrbbbwbwrggryygoobyroorygowowgowgoogbbyww
