,mvt,rbk_str
0,R1 D2 L2 U1 F2 R0 B1 D0 F1 L2 ,oyrrwgoogwygrrbobbgwrbgyygbroygyyoowwgyrowwwbyogrbwrbb
1,D2 L2 U1 F2 R0 B1 D0 F1 L2 ,oyrrwrooygbbyrbwrogwrbggyggrorgyyoobwgyrowwwbwogybwybb
2,L2 U1 F2 R0 B1 D0 F1 L2 ,oyrrwrooygbbyrbwwbgwrbggybbbooyygrorwgyrowwrowogybwygg
3,U1 F2 R0 B1 D0 F1 L2 ,byrywrroygbbyrbwwbgwrwgggbbooorygoororwworygwwoyybbygg
4,F2 R0 B1 D0 F1 L2 ,rryywobyrgwryrbwwborwwgggbbooorygoorwoyworygwgbbybbygg
5,R0 B1 D0 F1 L2 ,rryywoooowwrrrbywbbbgggwwrorybrygoorwowwoyygggbbybbygg
6,B1 D0 F1 L2 ,rrgywwoooyrwwrwbbrbbbgggwrrryyryyoogwowwoyyggobbobbygg
7,D0 F1 L2 ,ywwywwoooyrrwrrbbgbbbgggwrrryyryyrwwoowooygggbbgbbgooy
8,F1 L2 ,ywwywwoooyrrwrrwrrbbbggggggrrrwyywyyoowooyooybbgbbgbbg
9,L2 ,ywwywwywwrrrrrrrrrbggbggbggwyywyywyyooooooooobbgbbgbbg
10,F0 D1 U1 R2 F2 B2 U1 F2 L0 D1 ,oyywwyborwrrbrrgrwywbggooywgbogywwwbygrroygoygobgbbobr
11,D1 U1 R2 F2 B2 U1 F2 L0 D1 ,oyywwyyyrbrrorrrrwogyygwwobgbwgywwwbyggrobgoogobgbbobr
12,U1 R2 F2 B2 U1 F2 L0 D1 ,oyywwyyyrbrrorrobrogyygwrrwwwbbywggwyggrobwobgobgbbgoo
13,R2 F2 B2 U1 F2 L0 D1 ,yyrywyowyogyorrobryggygwrrwwwbbywggwgobrobwobbrrgbbgoo
14,F2 B2 U1 F2 L0 D1 ,yybywwowwrborroygoyggyggrrbwwrbyyggygobrobwobwrrwbbgoo
15,B2 U1 F2 L0 D1 ,yybywwrwwbbobrobgobrrggyggywwobyyggygoyrorworwrrwbbgoo
16,U1 F2 L0 D1 ,yggywwrwwbbwbrrbggbrrggyggywwobyybyyooyoorooroogbbwrrw
17,F2 L0 D1 ,gwwgwwyyrbrrbrrbggooyggyggywwobyybyyoogooroorbbwbbwrrw
18,L0 D1 ,gwwgwwowwrrrrrrgggyggyggyooryybyybyyoobooboobbbwbbwrrw
19,D1 ,wwwwwwwwwrrrrrrgggggggggoooyyyyyyyyyoooooobbbbbbbbbrrr
20,B0 D0 F2 U0 R0 F1 U2 L2 D0 U0 ,woywworrbyboyrbgooggrygrowywrrwyyobybowwogwggbgrrbbgyb
21,D0 F2 U0 R0 F1 U2 L2 D0 U0 ,obowworrbybyyrbgooggrygrowywrrwyybwwyowoogwgggrbybgbbr
22,F2 U0 R0 F1 U2 L2 D0 U0 ,obowworrbybyyrbowyggrygrwggbwwwyrwyryowoogbbrgrbybggoo
23,U0 R0 F1 U2 L2 D0 U0 ,obowwowwbrbygrbwwyggwrgyrggbrrwyrwyryooooybbygrbybggoo
24,R0 F1 U2 L2 D0 U0 ,wwowwbboogrbgrbwwyrbyrgyrggbrrwyrwyrggwooybbyyooybggoo
25,F1 U2 L2 D0 U0 ,wwywwybogwggwrrybbrbrrgrrgrbrgwyywyyggwooybbyooobbgooo
26,U2 L2 D0 U0 ,wwywwywwygggrrrbbbrrrbggrrrwyywyywyygggooobbbooobbgooo
27,L2 D0 U0 ,ywwywwywwgggrrrbbbooobggrrrwyywyywyygggooobbbrrrbbgooo
28,D0 U0 ,wwwwwwwwwgggrrrbbbooogggrrryyyyyyyyybbbooogggrrrbbbooo
29,U0 ,wwwwwwwwwgggrrrrrroooggggggyyyyyyyyybbboooooorrrbbbbbb
30,D1 U0 L2 F2 B2 U1 L2 B2 F2 L2 ,yyywwwwywrgbrrrgrogogggbogoyyywywwywgboooorobrbrgbbbrb
31,U0 L2 F2 B2 U1 L2 B2 F2 L2 ,yyywwwwywrgbrrrbrbgogggbgroywwyyyywwgbooooogorbrgbbrob
32,L2 F2 B2 U1 L2 B2 F2 L2 ,wwyywywwyrbrrrrbrbrgbggbgroywwyyyywwgogoooogogbogbbrob
33,F2 B2 U1 L2 B2 F2 L2 ,ywyywyywyrbrrrrbrbbgbbgborowwwyyywwwogoooogoggbggbgror
34,B2 U1 L2 B2 F2 L2 ,ywyywywwwgbrorrorborobgbbgbywyyyywwwogboorgorgbggbgror
35,U1 L2 B2 F2 L2 ,wwwywywwwgbgorooroorobgbbgbywyyyyywybgbrorrorrorgbggbg
36,L2 B2 F2 L2 ,wywwwwwyworooroorobgbbgbbgbywyyyyywyrorrorrorgbggbggbg
37,B2 F2 L2 ,yywywwyyworoorooroggbggbggbwwywyywwyrorrorrorgbbgbbgbb
38,F2 L2 ,ywwywwyyworrorrorrggbggbggbwwywyywyyoorooroorbbgbbgbbg
39,L2 ,ywwywwywwrrrrrrrrrbggbggbggwyywyywyyooooooooobbgbbgbbg
40,B0 U2 R0 L2 B0 D2 U2 L1 D1 B2 ,oowgwyybygggrrybrorwrogborogywwygbogywbooywryrwbbbbwgr
41,U2 R0 L2 B0 D2 U2 L1 D1 B2 ,gyogwyybygggrrobrbrwrogborogywwygyowwwbooyorywbrgbwrbb
42,R0 L2 B0 D2 U2 L1 D1 B2 ,ybyywgoygwwbrrobrbwbrogborogywwygyowgggooyoryrwrgbwrbb
43,L2 B0 D2 U2 L1 D1 B2 ,ybrywboyobrwrrwbobwbwoggorwgyrwygyorgggooyorygwrgbwybb
44,B0 D2 U2 L1 D1 B2 ,gbrwwbyyobrwrrwbobbbwwggrrwyyryygooryroyooggggwogboybw
45,D2 U2 L1 D1 B2 ,wwbwwbyyobrrrroboobbwwggrrwyyryygyygrroboogggyggbbwwoo
46,U2 L1 D1 B2 ,wwbwwbyyobrrrrogggbbwwggwoogyygyyryyrroboobooyggbbwrrw
47,L1 D1 B2 ,oyybwwbwwrrorrogggyggwggwoogyygyyryybrrbooboobbwbbwrrw
48,D1 B2 ,yyywwwwwwrrorrogggggggggroowyywyywyyrooroobbbbbbbbbrro
49,B2 ,yyywwwwwwrrorrorrogggggggggyyyyyywwwroorooroobbbbbbbbb
50,F0 L2 U0 B1 D2 L0 B2 R0 F1 U1 ,wborworbwbgwwrrrrrywrygoobygyboyyogwgwgoogbbybrogbygwy
51,L2 U0 B1 D2 L0 B2 R0 F1 U1 ,wborwoyggrgwbrrwrroyybgwyorrwboyyogwgwgooybbbbrogbygwy
52,U0 B1 D2 L0 B2 R0 F1 U1 ,rboowooggrgwbrrwrryyyygwoorwwbryyygwbbbyoogwgbrygbbgwo
53,B1 D2 L0 B2 R0 F1 U1 ,oorgwbgoobrybrrwrrrgwygwoorwwbryyygwyyyyoogwgbbbgbbgwo
54,D2 L0 B2 R0 F1 U1 ,gyygwbgoobrobrowrrrgwygwoorwwbryyrryyyygoowwgbbobbwbgg
55,L0 B2 R0 F1 U1 ,gyygwbgoobrobrowwgrgwygwbggyrryyrbwwyyygoowrrbbobbwoor
56,B2 R0 F1 U1 ,ryywwbooobrobrowwgggwggwgggrrryyrbwwwgyroyroybbbbbyooy
57,R0 F1 U1 ,wwbwwbooobrrbrrwwwggwggwgggrrryyryyrggyooyooyyooybbbbb
58,F1 U1 ,wwwwwwoogwbbwrrwrrggrggrggrrrbyyyyyyggyooyooyooobbbbbb
59,U1 ,wwwwwwwwwbbbrrrrrrrrrggggggyyyyyyyyygggooooooooobbbbbb
60,L2 F1 R0 B1 D2 F1 L1 R0 B1 F1 ,brrgwwwrgyryoryooyogobgwobgyywbygworrwboorgwbbywgbbgyr
61,F1 R0 B1 D2 F1 L1 R0 B1 F1 ,yrrbwwwrgyryoryooyrgobgwwbgbywgygworbwgroobwrbyogbbgyo
62,R0 B1 D2 F1 L1 R0 B1 F1 ,yrrbwwyoowryyryboyowgggbrbwgorgygworbwgrorbwwbyogbbgyo
63,B1 D2 F1 L1 R0 B1 F1 ,yrgbwbyowbyworryyyowrgggrbrgoggygwobbwgrorbwwoyowbbryo
64,D2 F1 L1 R0 B1 F1 ,brbbwbyowbyyorryygowrgggrbrgoggygyrwwwgoorbwwoboybyowr
65,F1 L1 R0 B1 F1 ,brbbwbyowbyyorrbwwowrgggowrwrygyggogwwgooryygoboybyrbr
66,L1 R0 B1 F1 ,brbbwbbobyyyrrrwwwrgrwgwogogrggyggogwwwoooyyyoboybyrbr
67,R0 B1 F1 ,rrbwwboobyyyrrrwwwggrggwggorrgyygoogwoywoywoyobbybbrbb
68,B1 F1 ,rrrwwwooowrywrywrygggggggggrrryyyooowoywoywoybbbbbbbbb
69,F1 ,wwwwwwooowrrwrrwrrgggggggggrrryyyyyyooyooyooybbbbbbbbb
70,D1 L2 B2 R1 L0 F1 U2 D0 B1 F2 ,rygbwbbrbrrobrrygoygwwgooyryrgyyoobwgwrgooggbyowwbwbyw
71,L2 B2 R1 L0 F1 U2 D0 B1 F2 ,rygbwbbrbrrobrrbywygwwgoygogowrybyyogwrgoooyryowwbwggb
72,B2 R1 L0 F1 U2 D0 B1 F2 ,gygrwbyrbrrobrrbywbgwwgowgorowbybbyoryooogrwgyoywbwggy
73,R1 L0 F1 U2 D0 B1 F2 ,oybrwbyrbrrrbrobyrbgwwgowgorowbybgygwyorogowgyggwbwyoy
74,L0 F1 U2 D0 B1 F2 ,oyyrwwyryrorrryrbbbgbwgbwgbrowbyogyowyorogowggggbbwwoy
75,F1 U2 D0 B1 F2 ,yyywwwgryrorrryrbbogbrgbygbbowwyowyoorwwoyggogggbbbwor
76,U2 D0 B1 F2 ,yyywwwrrrwororybbbbbbgggorywyowyowyooryworggggggbbbwor
77,D0 B1 F2 ,rrrwwwyyyoryorybbbggggggorywyowyowyoworworgggbbbbbbwor
78,B1 F2 ,rrrwwwyyyoryoryorygggggggggwwwyyyoooworworworbbbbbbbbb
79,F2 ,wwwwwwyyyorrorrorrgggggggggwwwyyyyyyoorooroorbbbbbbbbb
80,F2 L0 B2 F2 R2 U1 D2 F1 L1 R2 ,orrgwgoyyooyrrowbwbrgggwgbrwybgywrboyrwwoygwrbbbybogoy
81,L0 B2 F2 R2 U1 D2 F1 L1 R2 ,orrgwgbywroyyrowbwrbgwgggrbyyogywrboyrwworgwobbbybogoy
82,B2 F2 R2 U1 D2 F1 L1 R2 ,yrrowgbywroyyrowbwobggggbrbryowywgbogwywororwbbrybggoy
83,F2 R2 U1 D2 F1 L1 R2 ,obgowgbywrooyrwwbgobggggbrbryowywrrywwyooryrwyoggbyrbb
84,R2 U1 D2 F1 L1 R2 ,obgowgoyrwoorrwybgbrbggggbowybwywrrywwwooyyrryoggbyrbb
85,U1 D2 F1 L1 R2 ,obbowwoyygbywrroowbrrggggbywygwygrrrwwwooyyrrooggbybbb
86,D2 F1 L1 R2 ,bwybwyooobrrwrroowwwwggggbywygwygrrroogooyyrrgbygbybbb
87,F1 L1 R2 ,bwybwyooobrrwrryrrwwwgggbbbrrrgywgywoogooyoowgbygbygby
88,L1 R2 ,bwybwybwyrrrrrrrrrwgbwgbwgbgywgywgywooooooooogbygbygby
89,R2 ,wwywwywwyrrrrrrrrrggbggbggbyywyywyywooooooooogbbgbbgbb
90,D1 B0 L0 F2 R0 D1 L2 U2 F1 B0 ,yoywwbowobwoyrorbbgrwrgbwybggwgyoggrgoyyobrrobyrgbryww
91,B0 L0 F2 R0 D1 L2 U2 F1 B0 ,yoywwbowobwoyroywwgrwrgbrbbworgygggggoyyobwybbyrgbrrro
92,L0 F2 R0 D1 L2 U2 F1 B0 ,oowwwbowobwgyrgywggrwrgbrbbworgyggywyoyoobyybrgbrbyorr
93,F2 R0 D1 L2 U2 F1 B0 ,rowywbbwobwgyrgywgorwwgbobbgorrygrywyoyyoobbyrggrbgorw
94,R0 D1 L2 U2 F1 B0 ,rowywbrogywgorgywgbbobgwwroowbrygrywyoyyoybbbrggrbgorw
95,D1 L2 U2 F1 B0 ,rooywwrooyoywrwgggbbbbggwrwoworyrryryoyyoybbbgggbbgwrw
96,L2 U2 F1 B0 ,rooywwrooyoywrwwrwbbbbgggggorrwyyorryoyyoywrwgggbbgbbb
97,U2 F1 B0 ,ooowwwoooyoywrwwrwbbbggggggrrryyyrrrwrwyoyyoygggbbbbbb
98,F1 B0 ,ooowwwooowrwwrwwrwgggggggggrrryyyrrryoyyoyyoybbbbbbbbb
99,B0 ,ooowwwwwwrrwrrwrrwgggggggggyyyyyyrrryooyooyoobbbbbbbbb
100,U2 R2 L2 F1 B0 L1 D0 F2 U0 L2 ,gbgywgoobyrwwrybgrbyrogrybyooogywrrbwbwyowgogowrgbrwby
101,R2 L2 F1 B0 L1 D0 F2 U0 L2 ,boogwygbgwbwwrybgrowrogrybyooogywrrbyrwyowgogbyrgbrwby
102,L2 F1 B0 L1 D0 F2 U0 L2 ,boogwwgbbrgbyrwwbwowwoggybbooogyyrrgyrwyowgogyyrrbrrby
103,F1 B0 L1 D0 F2 U0 L2 ,ooogwwrbbrgbyrwwbwywwrggrbbboogyygrggogwoywryyyyrborbo
104,B0 L1 D0 F2 U0 L2 ,ooogwwrywogborwbbwwgbwgbyrrgyygyygrggobwobwrryyyrborbo
105,L1 D0 F2 U0 L2 ,bwwgwwrywoggorrbbgwgbwgbyrrgyygyygwwoobooborrrrybbyooy
106,D0 F2 U0 L2 ,wwwwwwyywoggorrbbgggbggbgrryyyyyyywwbbroorooorrrbbgoob
107,F2 U0 L2 ,wwwwwwyywoggorrgrrggbggboooyyywyywyybbrooroobrrrbbgbbg
108,U0 L2 ,wwwwwwyyybggrrrrrrooobggbggwyywyywyybbgoooooorrrbbgbbg
109,L2 ,ywwywwywwrrrrrrrrrbggbggbggwyywyywyyooooooooobbgbbgbbg
110,U1 L2 D2 F1 R2 D1 L0 B2 R1 D1 ,ygobwybywrrywrgbbyoogwggwrogbwgywbobgyywoowoogrrybrrbr
111,L2 D2 F1 R2 D1 L0 B2 R1 D1 ,oywgwyybboogwrgbbygyywggwrogbwgywbobgrrwoowoorryybrrbr
112,D2 F1 R2 D1 L0 B2 R1 D1 ,gywgwybbboogwrgbbyryyrggyroobwgywyoboowoowrrgrrwybwrbg
113,F1 R2 D1 L0 B2 R1 D1 ,gywgwybbboogwrgrrgryyrggrbgboywygwbooowoowbbyrrwybwyro
114,R2 D1 L0 B2 R1 D1 ,gywgwyowryogorgbrgyggygbrrrwwywygwboooboobbbbrrwybwyro
115,D1 L0 B2 R1 D1 ,gyygwgowogrbgrogoyygyygyrrrwwwwyywbrooboobbbbrrwbbwgro
116,L0 B2 R1 D1 ,gyygwgowogrbgrogroygyygygoywyrwybwwwooboobrrrrrwbbwbbb
117,B2 R1 D1 ,byywwgwwogrbgrogroggyggyooyyyryybgwwrooroorbbrrwbbwbbw
118,R1 D1 ,wwgwwgwwogrrgrrgrrggyggyooyyyryybyyboooooobbbwbbwbbwrr
119,D1 ,wwwwwwwwwrrrrrrgggggggggoooyyyyyyyyyoooooobbbbbbbbbrrr
120,L1 U0 B0 R0 U1 B1 D1 U2 R1 B2 ,yowbwwgyyroowrgorowbbwgrgowrybgyyrgborrbogboygbgrbwyyw
121,U0 B0 R0 U1 B1 D1 U2 R1 B2 ,wowwwwgyyroowrgororbbggrrowwybwyyggbrgyrooobbgbgrbbyyy
122,B0 R0 U1 B1 D1 U2 R1 B2 ,gwwywoywwgbgwrgororooggrrowwybwyyggbrbbrooobbrgyrbbyyy
123,R0 U1 B1 D1 U2 R1 B2 ,ggoywoywwgbbwrgorgrooggrrowwybwyyrrowbbwoogbbyrrybgyby
124,U1 B1 D1 U2 R1 B2 ,ggoywrywwowgrrbggbrobggyroowyywyyrrywbbwoogbbwrrobgoby
125,B1 D1 U2 R1 B2 ,orwgwwgyyrobrrbggbwbbggyroowyywyyrrywrrwoogbbowgobgoby
126,D1 U2 R1 B2 ,gwwgwwgyyroorrrggwwbbggyroowyywyybbbrrrrooybbggywbbooo
127,U2 R1 B2 ,gwwgwwgyyroorrrooowbbggyggwyybyybwwbrrrroorooggywbbybb
128,R1 B2 ,yygwwgwwgrrrrrroooggyggyggwyybyybwwbroorooroowbbwbbybb
129,B2 ,yyywwwwwwrrorrorrogggggggggyyyyyywwwroorooroobbbbbbbbb
130,R0 B0 F2 U0 L1 R2 D1 F2 B0 L0 ,bbyowgobgwwggrrrorworbgybygwbygygoobywgyowbroorrwbrwyy
131,B0 F2 U0 L1 R2 D1 F2 B0 L0 ,bbrowyobgrgworwrrgwoybggbybwbwgywoooywgyowbrogrrgbryyy
132,F2 U0 L1 R2 D1 F2 B0 L0 ,wwgowyobgrgoororrowoybggbybwbwgywyybrwgbowbroyggybryrr
133,U0 L1 R2 D1 F2 B0 L0 ,wwgowywbwogowrogrobybggbyowgbogywyybrwrboobrryggybryrr
134,L1 R2 D1 F2 B0 L0 ,wowbwwwygyggwrogroogoggbyowgbogywyybbybboobrrrwrybryrr
135,R2 D1 F2 B0 L0 ,oowgwwyygyggwrogroggoggbyowrborywrybboryorbbbrwwybbyrw
136,D1 F2 B0 L0 ,ooogwwyyborgorwggyggyggyyorrbwrywrygboryorbbbwwwbbborw
137,F2 B0 L0 ,ooogwwyyborgorworwggyggyggywwgbyyrrrboryoryorwwwbbbbbb
138,B0 L0 ,ooogwwgwwrrgrrwrrwyggyggyggbyybyyrrrbooyooyoowwwbbbbbb
139,L0 ,gwwgwwgwwrrrrrrrrryggyggyggbyybyybyyooooooooobbwbbwbbw
140,L0 R0 D2 B1 R2 F2 D2 L2 B2 U2 ,brbgwggwgwyorrrroyrgrwgwygybobbybgwgrryooowyowbwybyobo
141,R0 D2 B1 R2 F2 D2 L2 B2 U2 ,orbywgwwgwyorrrroybgrggwggyrobwybywgworyorooywbgybbobb
142,D2 B1 R2 F2 D2 L2 B2 U2 ,orrywwwwyrrworyyrobgbggbgggroowyyywwworyorooygbggbbbbb
143,B1 R2 F2 D2 L2 B2 U2 ,orrywwwwyrrworyooybgbggbbbbwwyyywoorworyoryrogbggbbggg
144,R2 F2 D2 L2 B2 U2 ,yywywwwwyrroorroorbgbggbbbbwwyyywyywooroorrrogbgbbgggg
145,F2 D2 L2 B2 U2 ,yyyywwwwwroorroorrbggggbbbgwwwyywyyyooroorrrobbgbbgbgg
146,D2 L2 B2 U2 ,yyyywwwwwooorrorrrgbbbggggbwwwyywyyyooooorrrrbbgbbgbgg
147,L2 B2 U2 ,yyyywwwwwooorrorrrgbbbggbggyyywyywwwooooorrrrbbgbbgggb
148,B2 U2 ,yyywwwwwwooorrorrrbbbggggggyyyyyywwwrrrrooooobbbbbbggg
149,U2 ,wwwwwwwwwooorrrrrrbbbggggggyyyyyyyyyrrroooooogggbbbbbb
150,L2 B2 R1 F0 B1 U0 R1 D2 U1 L2 ,oowywbwobyyrrrgyygowrwgbgbryogyygrbwyrbworwoobgbrbgowg
151,B2 R1 F0 B1 U0 R1 D2 U1 L2 ,yowywbrobyyrrrgyyggwrggbbbroogyygwbwoowrowbrybggrbwowo
152,R1 F0 B1 U0 R1 D2 U1 L2 ,wbwywbrobyybrrryyogwrggbbbroogyygwoygowgowrryowowbrggb
153,F0 B1 U0 R1 D2 U1 L2 ,wbgywwroobroyryyrygwwggbbbbooryybworgowgowrryywogbrggb
154,B1 U0 R1 D2 U1 L2 ,wbgywwywwrrooryorybggbgwbbwyybyybworgoogoorrrywogbrggb
155,U0 R1 D2 U1 L2 ,rggywwywwrrworborgbggbgwbbwyybyybyyowooooorrrorbwbgygg
156,R1 D2 U1 L2 ,yyrwwgwwgorborborgrrwbgwbbwyybyybyyobggooorrrwoowbgygg
157,D2 U1 L2 ,yyywwwwwwbbgrrrooorrrbggbbgyywyywyywbggooorrrooobbgbgg
158,U1 L2 ,yyywwwwwwbbgrrrrrrrrrbggbggwyywyywyybggooooooooobbgbbg
159,L2 ,ywwywwywwrrrrrrrrrbggbggbggwyywyywyyooooooooobbgbbgbbg
160,R2 F1 B1 D0 R2 L0 B0 F1 R0 L1 ,bwbgwryoryyrbroyrwbggrgybbgwworyggogryooobwwoygwwbyrbo
