,mvt,rbk_str
0,D0 L1 U0 B0 F2 R2 L0 U0 F0 R1 ,gbbbwoogrbgyorgggbbwybgywyogrywyyrwwrywoowwoooryrbbrrg
1,L1 U0 B0 F2 R2 L0 U0 F0 R1 ,gbbbwoogrbgyorgwyobwybgywoorwgwyrwyyrywoowrrgoryrbbggb
2,U0 B0 F2 R2 L0 U0 F0 R1 ,bbbbwowgrbgyorgwyorwywgywoobwgbyryyywwgyorrorororbbggg
3,B0 F2 R2 L0 U0 F0 R1 ,wbbgwbroboroorgwyobgywgywoobwgbyryyyrwyyorrorwwgrbbggg
4,F2 R2 L0 U0 F0 R1 ,ogogwbroboryorywyybgywgywoobwgbyrryrbwyborworgrwgbwgbg
5,R2 L0 U0 F0 R1 ,ogogwbgwbrryrryyyyoowygwygbborbyrryrbwwboowoogrwgbwgbg
6,L0 U0 F0 R1 ,ogrgwrgwryyyyrryrroogyggyggboobybrybbwwboowoobrwwbwwbg
7,U0 F0 R1 ,ggrwwrwwryyyyrryrroogggggggoooyybyybwbboowoowbrrwbbwbb
8,F0 R1 ,wwgwwgrrrbrryrryrryyyggggggoooyybyyboogoowoowwbbwbbwbb
9,R1 ,wwgwwgwwgrrrrrrrrrggyggyggyyybyybyybooooooooowbbwbbwbb
10,R0 F0 U1 D0 L2 B0 F1 R0 B1 L2 ,rwwowbbwgwrbbrywgyrgrygwygobogryryybybwyobgwooogrbgroo
11,F0 U1 D0 L2 B0 F1 R0 B1 L2 ,rwrowwbwowbwgrryybrggygrygbborryryyoybwyobgwogogbbgwoo
12,U1 D0 L2 B0 F1 R0 B1 L2 ,rwrowwobwbbwwrroybyyrgggbrgygwryryyoybbyoogwrgogbbgwoo
13,D0 L2 B0 F1 R0 B1 L2 ,rwwwwbrooyyrwrroybybbgggbrgygwryryyogogyoogwrbbwbbgwoo
14,L2 B0 F1 R0 B1 L2 ,rwwwwbrooyyrwrrbrgybbggggwryryyygorwgogyoowoobbwbbgoyb
15,B0 F1 R0 B1 L2 ,ywwywboooyyrwrrbrgbbbgggwwrrrywygrrwoowooygogbbgbbgoyy
16,F1 R0 B1 L2 ,rrgywboooyywwrrbrrbbbgggwwrrrywygoogwowwoyyogobbybbygg
17,R0 B1 L2 ,rrgywbywbyywrrrrrrbgrbgwbgwwygwygoogwoowooyooobbybbygg
18,B1 L2 ,rrrywwywwrryrryrrwbggbggbggwyywyyooowoowooyoobbbbbbggg
19,L2 ,ywwywwywwrrrrrrrrrbggbggbggwyywyywyyooooooooobbgbbgbbg
20,U1 F2 L2 R0 B0 F2 D1 L2 B1 U0 ,bowwwobbbygoyrgywworrwgrobrgwgyyrgyrwoyrogroygboybgbbw
21,F2 L2 R0 B0 F2 D1 L2 B1 U0 ,wobowbbwborryrgywwwoywgrobrgwgyyrgyrgborogroyygoybgbbw
22,L2 R0 B0 F2 D1 L2 B1 U0 ,wobowbgwgyrrgrgowwrborgwyowbwbyyrgyrgbyroyrooygoybgbbw
23,R0 B0 F2 D1 L2 B1 U0 ,bobywbgwgyrrgrgowwwboggwoowwwboyrgyrooryorybgygyybrbbr
24,B0 F2 D1 L2 B1 U0 ,booywwgwwogywrrwgrwbbggroorwwboyygyyooryorybgggybbrbbr
25,F2 D1 L2 B1 U0 ,yrrywwgwwogywrywggwbbggroorwwboyyoyyooroorbbgbbgbbgrry
26,D1 L2 B1 U0 ,yrrywwbwwggyrryrggroorggbbwwwgoyyoyyoowoowbbobbgbbgrry
27,L2 B1 U0 ,yrrywwbwwggyrryrryroorggrgggyywyywoooowoowbbwbbgbbgbbo
28,B1 U0 ,grrwwwwwwggyrryrryoooggggggyyyyyyboowbbwoowoobbrbbrbbr
29,U0 ,wwwwwwwwwgggrrrrrroooggggggyyyyyyyyybbboooooorrrbbbbbb
30,R0 F0 L0 R0 U2 D1 F1 U0 D0 B1 ,robrwrybgogyyrwyybgrwrgbyyboorbygwoogyrgowrwgogwobwwbb
31,F0 L0 R0 U2 D1 F1 U0 D0 B1 ,rowrwbybbyyoyrgbwygrrrggyyooowbyowoogyrgowrwgggwrbwbbb
32,L0 R0 U2 D1 F1 U0 D0 B1 ,rowrwbgwryyobrgbwyyrgygrogrbyybyowoogyogoorwwggwrbwbbb
33,R0 U2 D1 F1 U0 D0 B1 ,bowwwbwwryyobrgbwyrrgrgrggryyyyyoooorggwoywooggwrbbbbb
34,U2 D1 F1 U0 D0 B1 ,bogwwrwwrbbywryygorryrgoggoyybyyroogrggwoywoorgwbbbwbb
35,D1 F1 U0 D0 B1 ,rwwrwwgobrggwryygorgwrgoggoyybyyroogbbywoywoorrybbbwbb
36,F1 U0 D0 B1 ,rwwrwwgobrggwrywbbrgwrgoygobrgyyoyyobbywoyggorrybbbwoo
37,U0 D0 B1 ,rwwrwwrwwgggrrybbbwoogggrryyyoyyoyyobbbwoogggrrybbbwoo
38,D0 B1 ,rrrwwwwwwrryrrybbbggggggrryyyoyyoyyowoowoogggbbbbbbwoo
39,B1 ,rrrwwwwwwrryrryrrygggggggggyyyyyyooowoowoowoobbbbbbbbb
40,R2 D1 U2 F2 B2 U0 R1 F0 D2 R0 ,oorrwwgywooborwobrwgbygbrryyggbywbyywwrrooyygwgggbbbro
41,D1 U2 F2 B2 U0 R1 F0 D2 R0 ,oogrwwgyyrbowroboowgbyggrrwygrbywbywwwrrooyygyggbbbbro
42,U2 F2 B2 U0 R1 F0 D2 R0 ,oogrwwgyyrbowrobrowgbyggboorwwgyyybbwwrroorrwyggbbbyyg
43,F2 B2 U0 R1 F0 D2 R0 ,yygwwrgoowwrwrobroyggyggboorwwgyyybbrboroorrwwgbbbbyyg
44,B2 U0 R1 F0 D2 R0 ,yygwwrwwrwwroroorooobggyggyooggyyybbrbbrowrrwwgbbbbyyg
45,U0 R1 F0 D2 R0 ,bbywwrwwrwwrorrorroobggyggyooggyygyyobboowrrwgyybbbbgw
46,R1 F0 D2 R0 ,wwbwwbrrygyyorrorrwwrggyggyooggyygyyooboowrrwobbbbbbgw
47,F0 D2 R0 ,wwbwwbrroyrryrrgoowwbggbggyoorgyygyyooboowrrwybbybbggw
48,D2 R0 ,wwbwwbwwbrrrrrroooggwggwybbgyygyygyyoooooorrrybbybbggw
49,R0 ,wwbwwbwwbrrrrrrrrrggwggwggwyygyygyygoooooooooybbybbybb
50,U1 F0 B1 D1 F2 L0 U0 B1 D1 U2 ,wgbbwyrwybrogryyrbwboogwogrgrgoywgbrrybwoywbywoggboyro
51,F0 B1 D1 F2 L0 U0 B1 D1 U2 ,byygwwwbrwbogryyrbrybogwogrgrgoywgbrwogwoywbybrogboyro
52,B1 D1 F2 L0 U0 B1 D1 U2 ,byygwwyygwbobryrrboorggyrwbygwoywgbrwogworwbgbrogboyro
53,D1 F2 L0 U0 B1 D1 U2 ,wwwgwwyygwbbbryrryoorggyrwbygwoywbyogogborrbgooorbrbgy
54,F2 L0 U0 B1 D1 U2 ,wwwgwwyygwbbbrybgyoorggyrrywwogyyyobgogborrwbooorbrrbg
55,L0 U0 B1 D1 U2 ,wwwgwwowwbbbrryggyyrryggroogyygyyyobgobbobrwwooorbrrbg
56,U0 B1 D1 U2 ,gwwrwwowwbbbrryggywrrgggoooyyyyyyrobrbgwoowbbooyrbgrbg
57,B1 D1 U2 ,orgwwwwwwooyrryggybbbgggoooyyyyyyrobwrrwoowbbrbgrbgrbg
