,mvt,rbk_str
0,D0 L0 R2 U0 F0 R0 L2 F1 D2 R1 ,ywogwgybygwworrwggrrrwgyoggwrroyywbobobboorbgbroybwyyb
1,L0 R2 U0 F0 R0 L2 F1 D2 R1 ,ywogwgybygwworroggrrrwgyrbgwowbyroyrbobbooyybbroybwwgg
2,R2 U0 F0 R0 L2 F1 D2 R1 ,gwowwgobygwworroggyrrggyybgrowwyrryrybbyoobobbroybbwgw
3,U0 F0 R0 L2 F1 D2 R1 ,gwwwwrobrggorrowwgyrwggyybbroowygryyybbyoobobgroybbrgw
4,F0 R0 L2 F1 D2 R1 ,owgbwwrrwgrorrowwgggoggyybbroowygryyyrwyoobobybbybbrgw
5,R0 L2 F1 D2 R1 ,owgbwwbowrrorrowwgyggbggbyowrgwygryyyrryoobooybbybbrgw
6,L2 F1 D2 R1 ,owgbwgboowrrwrrgooyggbggbyywrrwyyryyyrryooboowbbwbbggw
7,F1 D2 R1 ,wwgwwgroowrrwrrgoowggbggbyyorrbyybyyoobooyrrywbbwbbggy
8,D2 R1 ,wwgwwgwwgrrrrrroooggyggywbbbyybyybyyoooooorrrwbbwbbggy
9,R1 ,wwgwwgwwgrrrrrrrrrggyggyggyyybyybyybooooooooowbbwbbwbb
10,L2 D0 B0 F1 U0 L1 F1 R1 U2 B2 ,woyywogrwbgbbrgywwrwrbgrooobbbwyoygorbyrowggwrygrbygyo
11,D0 B0 F1 U0 L1 F1 R1 U2 B2 ,boywwoyrwbgbbrgywwowrygrgoowbbyyoggowggworybrryorbbgyr
12,B0 F1 U0 L1 F1 R1 U2 B2 ,boywwoyrwbgbbrggooowrygrybrgywgyboobwggworgyrryorbbyww
13,F1 U0 L1 F1 R1 U2 B2 ,bgowwoyrwbgbbrogooowrygrybrgywgybwwgyggoorbyryrrwbywbo
14,U0 L1 F1 R1 U2 B2 ,bgowwobbgwgbyrogoorrrwgboyygrrgybwwgygwoorbyyyrrwbywbo
15,L1 F1 R1 U2 B2 ,bwbbwggooyrryrogoowgbwgboyygrrgybwwgrrroorbyyygwwbywbo
16,F1 R1 U2 B2 ,wwbwwgoooyrryrogooggbggbwyyorryybwwgrryroyrobyggwbbwbb
17,R1 U2 B2 ,wwbwwgyygrrrrroooobbyggyggwyybyybwwgrroroorooyggwbbwbb
18,U2 B2 ,wwwwwwyyyroorrorrobbbggggggyyyyyywwwrrorooroogggbbbbbb
19,B2 ,yyywwwwwwrrorrorrogggggggggyyyyyywwwroorooroobbbbbbbbb
20,R0 L1 U1 D0 B2 U2 L2 D0 B0 R1 ,yggbwgwywbooorggryogrogybwwyrobyywwrbwbrobgyryrowbbgor
21,L1 U1 D0 B2 U2 L2 D0 B0 R1 ,ygrbwywywgobrroygoogoogybwryrgbywwwybwbrobgyrwrogbbgor
22,U1 D0 B2 U2 L2 D0 B0 R1 ,ogrowybywgobrroygoygobgywwrrrgbywowybbrwoybrgwrwgbbgoy
23,D0 B2 U2 L2 D0 B0 R1 ,rywgwyoobygorroygobbrbgywwrrrgbywowywrwwoybrggobgbbgoy
24,B2 U2 L2 D0 B0 R1 ,rywgwyoobygorrowwrbbrbgybrgobrwyrywgwrwwoygoygobgbbygo
25,U2 L2 D0 B0 R1 ,gwygwyoobyggrrwwwwbbrbgybrgobrwyrwyrrrwooyooyogybbgbog
26,L2 D0 B0 R1 ,booywgywgrrwrrwwwwogybgybrgobrwyrwyryggooyooybbrbbgbog
27,D0 B0 R1 ,ooowwgwwgrrwrrwwwwggyggyrrgbbryyryyryooyooggybbbbbbboo
28,B0 R1 ,ooowwgwwgrrwrrwrrgggyggyggyyybyybrrryooyooboobbbbbbwww
29,R1 ,wwgwwgwwgrrrrrrrrrggyggyggyyybyybyybooooooooowbbwbbwbb
30,F0 U1 B1 L1 D0 F2 R1 B0 D1 F1 ,rrwywrryobwobryrbyggwwgwbwboowryrrggbowoogggygyybbbooy
31,U1 B1 L1 D0 F2 R1 B0 D1 F1 ,rrwywrygwrwoyryobybwgwggbwwrbbryrrggboooooggwgyybbbooy
32,B1 L1 D0 F2 R1 B0 D1 F1 ,wrwrwgryybwgyryobyboowggbwwrbbryrrgggyyoooggwrwobbbooy
