,mvt,rbk_str
0,U0 B0 D1 F2 R0 B1 F2 L1 R2 U1 ,ybywwwobwrrbrrrbgywogygbbowogroyyobggogworwyyryrgbgowb
1,B0 D1 F2 R0 B1 F2 L1 R2 U1 ,owybwbwwyryrrrrbgyrrbygbbowogroyyobgwogworwyygoggbgowb
2,D1 F2 R0 B1 F2 L1 R2 U1 ,rrybwbwwyrygrrbbgorrbygbbowogroyywwwyogworoyyoggwbobgg
3,F2 R0 B1 F2 L1 R2 U1 ,rrybwbwwyrygrrbbggrrbygbbgorywgywoowyogworbowoggwbooyy
4,R0 B1 F2 L1 R2 U1 ,rrybwbwyrwygrrbgggogbbgybrrywwgywoowyobworboroggwbooyy
5,B1 F2 L1 R2 U1 ,rrbbwywyrgrwgrygbgogwbgwbrwywogywoooyobworborrggbboyyy
6,F2 L1 R2 U1 ,bwybwywyrgrrgrrgbbogwbgwbrwywogywgywoobooroorgoygbyrby
7,L1 R2 U1 ,bwybwyowyrrrrrrbbbwrbwgbwgorywgywgywoogoogooggoygbyrby
8,R2 U1 ,wwywwywwyrrrrrrbbbrrbggbggoyywyywyywgggoooooogoogbbrbb
9,U1 ,wwwwwwwwwbbbrrrrrrrrrggggggyyyyyyyyygggooooooooobbbbbb
10,R2 U1 D2 L0 B1 R2 U1 D2 L0 R2 ,gywywobboggbyrrybrooywggbwbrorwyrgygwrygorwbwoorgbwybo
11,U1 D2 L0 B1 R2 U1 D2 L0 R2 ,gyrywrbbgrbyrrybggooywggbworowwyogyowrygorwbwborgbwybo
12,D2 L0 B1 R2 U1 D2 L0 R2 ,rrgywbgybooyrrybggwrywggbworowwyogyoborgorwbwrbygbwybo
13,L0 B1 R2 U1 D2 L0 R2 ,rrgywbgybooyrrywbwwrywggybooygoywworborgorbggrbygbwbwo
14,B1 R2 U1 D2 L0 R2 ,orgwwbyybooyrrywbwrryygggbowygwywyorbgbgoogrrrbwgbobwo
15,R2 U1 D2 L0 R2 ,ggbwwbyybooorrrwbgrryygggbowygwywwyyygbooorrrwoobbwrgb
16,U1 D2 L0 R2 ,gggwwwyyygbwrrrooorrrygbgbwwybwybwybygbooorrrooogbwygb
17,D2 L0 R2 ,gwygwygwyrrrrrroooygbygbgbwwybwybwyboooooorrrgbwgbwygb
18,L0 R2 ,gwygwygwyrrrrrrrrrygbygbygbbywbywbywooooooooogbwgbwgbw
19,R2 ,wwywwywwyrrrrrrrrrggbggbggbyywyywyywooooooooogbbgbbgbb
20,B0 D0 U0 L1 R0 U1 B2 L1 F2 B1 ,yrbbwwbbwbrobrywbyyyrygowoorggwyrgroowrwogyggwggobobyr
21,D0 U0 L1 R0 U1 B2 L1 F2 B1 ,oyybwwbbwbrobrrwbgyyrygowoorggwyrowybwrrogyggbowybgrog
22,U0 L1 R0 U1 B2 L1 F2 B1 ,oyybwwbbwbrobrrwooyyrygoyggowrwygyrgbwrrogrogbowybgwbg
23,L1 R0 U1 B2 L1 F2 B1 ,bbobwywwybowbrrwoobroygoyggowrwygyrgyyrrogrogbwrybgwbg
24,R0 U1 B2 L1 F2 B1 ,bboywyywybowbrrwooorowgoygggwrgygrrgrggyooyrrbwwybbwbb
25,U1 B2 L1 F2 B1 ,bboywoywgwbboroorworrwggygggwwgyyrrbrggyooyrrywwybbobb
26,B2 L1 F2 B1 ,oogbwwbyyorroroorwrggwggygggwwgyyrrbywwyooyrrwbbybbobb
27,L1 F2 B1 ,brrbwwbyyoryoryoryrggwggygggwwgyygoowwwooorrrbbobbybbw
28,F2 B1 ,rrrwwwyyyoryoryorygggggggggwwwyyyoooworworworbbbbbbbbb
29,B1 ,rrrwwwwwwrryrryrrygggggggggyyyyyyooowoowoowoobbbbbbbbb
30,R0 F2 U1 D1 R2 F2 L2 U0 F0 D2 ,rybowbrwwgoyrrooyggbobgwrowyybyybwrobgwworrggorywbgygb
31,F2 U1 D1 R2 F2 L2 U0 F0 D2 ,ryoowwrwworgyrogoygbbbgbrooyyyyywwrobgwworrggwrybbgbgb
32,U1 D1 R2 F2 L2 U0 F0 D2 ,ryoowwyyygrgrrowoyoorbgbbbgwwryywwrobggwoyrgowrybbgbgb
33,D1 R2 F2 L2 U0 F0 D2 ,owyywyroyoorrrowoybggbgbbbgwwryywwrowrywoyrgogrgbbgbgb
34,R2 F2 L2 U0 F0 D2 ,owyywyroyoorrrobgbbggbgbwoyrwowyrwywwrywoybbggrgbbgrgo
35,F2 L2 U0 F0 D2 ,owoywrrowbgborrroobgrbgbwogrwywyywyywrywoybbgyrgbbgggo
36,L2 U0 F0 D2 ,owoywrywrggbyrryoogowbgbrgbworwyywyywrrwoobbbyrgbbgggo
37,U0 F0 D2 ,wwowwrwwrggbyrryoooowggbggbooryyyyyybbboowrrwyrrbbbggg
38,F0 D2 ,wwwwwwrroyrryrryooggbggbggbooryyyyyyoowoowrrwbbbbbbggg
39,D2 ,wwwwwwwwwrrrrrroooggggggbbbyyyyyyyyyoooooorrrbbbbbbggg
40,D1 B1 R1 U1 F2 L2 D2 B0 F1 U0 ,rbrrwbowowyworrogryggogyrbwbwbyyoyrgwbbyowggygobgbrywo
41,B1 R1 U1 F2 L2 D2 B0 F1 U0 ,rbrrwbowowyworrywoyggogyogrbogwyrbyywbbyowrbwgobgbrggy
42,R1 U1 F2 L2 D2 B0 F1 U0 ,rywrwbowowyrorbywryggogyogrbogwyrorwbbbyowybwbryobgggg
43,U1 F2 L2 D2 B0 F1 U0 ,rygrwoowbrbryrwwoyygwogbogobogwyyorrbbbyowybwwryrbgggg
44,F2 L2 D2 B0 F1 U0 ,gobywwrroygwyrwwoybbbogbogobogwyyorrwryyowybwrbrrbgggg
45,L2 D2 B0 F1 U0 ,gobywwgobwgwwrwyoyogobgobbborrwyyorrwrwyoyybyrbrrbgggg
46,D2 B0 F1 U0 ,oobwwwoobwgwwrwyoyggoggorbbgrryyygrrybyyoywrwrbbrbbggo
47,B0 F1 U0 ,oobwwwoobwgwwrwwrwggoggoggorrgyyyrrgybyyoyyoyrbbrbbrbb
48,F1 U0 ,wwwwwwoobwggwrrwrrggoggoggorrgyyyyyybbyooyooyrrrbbbbbb
49,U0 ,wwwwwwwwwgggrrrrrroooggggggyyyyyyyyybbboooooorrrbbbbbb
50,F0 L1 R1 D1 F0 L0 U2 F1 D0 R2 ,bobywbgyyorrbrobrwwggggogrorwwbygwyrorroowowyygywbybbg
51,L1 R1 D1 F0 L0 U2 F1 D0 R2 ,bobywbywrgrryroyrwggwrggoogbbobygwyrorroowowwygywbybbg
52,R1 D1 F0 L0 U2 F1 D0 R2 ,gobrwbowrgrryroyrwbgwbggwoggboyygyyrrwwrowoooygywbybbb
53,D1 F0 L0 U2 F1 D0 R2 ,gobrwwowyrowrrrgyybgbbgbworgbwyygyygrwwrowooorgygbyobb
54,F0 L0 U2 F1 D0 R2 ,gobrwwowyrowrrrobbbgbbgbgyywggbyygyyrwwrowworrgygbyooo
55,L0 U2 F1 D0 R2 ,gobrwwrwwoowwrrybbgbbyggybborrbyygyyrwwrogwogrgygbyooo
56,U2 F1 D0 R2 ,oobywwywwoowwrrybbgbbrggrbbgrryyyyyywrroowggwrgggbbooo
57,F1 D0 R2 ,wwywwyboowrrwrrybbrggrggrbbgrryyyyyyoowoowggwgbbgbbooo
58,D0 R2 ,wwywwywwyrrrrrrgbbggbggbrrrwwwyyyyyyooooooggbgbbgbbooo
59,R2 ,wwywwywwyrrrrrrrrrggbggbggbyywyywyywooooooooogbbgbbgbb
60,F2 D0 U2 L1 R2 U1 F0 L1 D0 R2 ,yyyywyywoggbbrwgoogbyggrrowwbooyywgwbbroorgwbrrorbgbwr
61,D0 U2 L1 R2 U1 F0 L1 D0 R2 ,yyyywyobwbgbrrwrooworrggybgowyoyywgwbbgoobgwgrrorbgbwr
62,U2 L1 R2 U1 F0 L1 D0 R2 ,yyyywyobwbgbrrwybgworrgggwgwoogywwyybbgoobbwrrrorbgroo
63,L1 R2 U1 F0 L1 D0 R2 ,wboywyyyybbgrrwybgrrorgggwgwoogywwyybgboobbwrworrbgroo
64,R2 U1 F0 L1 D0 R2 ,rborwygyybbgrrwybgwrogggwwgooogywryybbrgowbobwoyrbyrow
65,U1 F0 L1 D0 R2 ,rborwwgyygbywrrgbbwrrggrwwwooogyyryybbrgowbobgoygbyoow
66,F0 L1 D0 R2 ,owybwyrrgwrrwrrgbbbbrggrwwwooogyyryygoygowbobgbygbyoow
67,L1 D0 R2 ,owybwybwyrrrrrrgbbwgbwgbwrrgwwgyyryygoogooboogbygbyoow
68,D0 R2 ,wwywwywwyrrrrrrgbbggbggbrrrwwwyyyyyyooooooggbgbbgbbooo
69,R2 ,wwywwywwyrrrrrrrrrggbggbggbyywyywyywooooooooogbbgbbgbb
70,U2 R0 F2 B0 R1 F2 D0 U2 L0 D1 ,gwogwwyoyrrwbrrorrowbygywggbywyygbogwwgboryorbbrbboygo
71,R0 F2 B0 R1 F2 D0 U2 L0 D1 ,yoywwgowgwwgbrrorrbbrygywggbywyygbogrrwboryorowbbboygo
