,mvt,rbk_str
0,R2 F1 L1 U2 D1 B1 U0 F2 D1 L2 ,yywrwwyoybgoyrrgbbgwobgrrbogoygywwyorwrgoyrrwgobbbowgb
1,F1 L1 U2 D1 B1 U0 F2 D1 L2 ,yyyrwwyoobbgrryogbgwwbgbrbggowgywwyyrwrgoyrrwoobrboogb
2,L1 U2 D1 B1 U0 F2 D1 L2 ,yyyrwwbrowbgoryggbwbgwgbgbrrywgywwyyrwogoorryoobrboogb
3,U2 D1 B1 U0 F2 D1 L2 ,wyywwwgrowbgoryggbrbgggbwbrbywoywbyyooyworrgroobrbrogy
4,D1 B1 U0 F2 D1 L2 ,orgwwwyywooyoryggboobggbwbrbywoywbyywbgworrgrrbgrbrogy
5,B1 U0 F2 D1 L2 ,orgwwwyywooyoryogyoobggbggbwwyyyybobwbgworwbrrbgrbrrgr
6,U0 F2 D1 L2 ,wwwwwwyywoooorroggoobggbggbwwyyyyyyybbgoorbbrgrrbbgrrr
7,F2 D1 L2 ,ywwywwwwwgrrorroggoooggbggbwwyyyyyyyooboorbbrbbgbbgrrr
8,D1 L2 ,ywwywwywwrrrrrrbggbggbggooowwwyyyyyyoooooobbgbbgbbgrrr
9,L2 ,ywwywwywwrrrrrrrrrbggbggbggwyywyywyyooooooooobbgbbgbbg
10,B0 D1 L2 R2 D0 B2 R1 F2 U2 D1 ,wrywwwwyoygrorywrwoobwgbgroywgyybrggbbbgooyboggrrboryb
11,D1 L2 R2 D0 B2 R1 F2 U2 D1 ,rywwwwwyoyggorgwrroobwgbgroywgyybbgyybbroowborrgybgbor
12,L2 R2 D0 B2 R1 F2 U2 D1 ,rywwwwwyoyggorgboroobwgbwrrgbywygyybybbroogrorrgybgwbo
13,R2 D0 B2 R1 F2 U2 D1 ,gywwwwyyoyggorgboroobggbgrrrbywygwyborgoorbbyrrwybwwbo
14,D0 B2 R1 F2 U2 D1 ,gyywwgyybrobgroggyoowggygrrrbwwywwyoorgoorbbyrrwbbwbbo
15,B2 R1 F2 U2 D1 ,gyywwgyybrobgrogrroowggybbywwryybowworgoorbborrwbbwggy
16,R1 F2 U2 D1 ,wwowwgyybrobgrogrooowggybbywwryybyygrrgoorbboyggwbbwrr
