,mvt,rbk_str
0,L1 B2 D2 U2 F1 L1 R1 U2 L1 B0 ,orrbwyrwyoogorooogwggggbrbgbrwgywbrrbybworyyyyywgbbwwo
1,B2 D2 U2 F1 L1 R1 U2 L1 B0 ,wrrgwyrwyoogorooogbggggbbbgorwbywwrrbryyoybwyyyrgbbwwo
2,D2 U2 F1 L1 R1 U2 L1 B0 ,rrwgwyrwyooboryoobbggggbbbgorwbywrrwgryooygwyowwbbgryy
3,U2 F1 L1 R1 U2 L1 B0 ,rrwgwyrwyooborygwybggggbryywrrwybwrogryooyoobowwbbgbbg
4,F1 L1 R1 U2 L1 B0 ,ywrywgwrrgryorygwyowwggbryywrrwybwrooobooyoobbggbbgbbg
5,L1 R1 U2 L1 B0 ,ywrywggogrryrrywwywbywgyogrbybwybwrooorooroowbggbbgbbg
6,R1 U2 L1 B0 ,wwrwwgoogrryrrywwybbywgywgrgybgybgrorrwoooooobggbbybby
7,U2 L1 B0 ,wwbwwboobyyyrrwrrwbbrwggwgggyygyygrrrrwoooooooggbbybby
8,L1 B0 ,boobwwbwwrrwrrwrrwoggwggwgggyygyygrryyyoooooobbrbbybby
9,B0 ,ooowwwwwwrrwrrwrrwgggggggggyyyyyyrrryooyooyoobbbbbbbbb
10,D1 B1 R2 L2 F0 R1 L1 U0 R2 F2 ,owggwggrrboogryywywwyygygooobbwybbbrbrryoowowygwbbrgrr
11,B1 R2 L2 F0 R1 L1 U0 R2 F2 ,owggwggrrboogrygrrwwyygyywybbrbybowbbrryoogooygwbbrwow
12,R2 L2 F0 R1 L1 U0 R2 F2 ,gybgwggrrboogrwgrgwwyygyywybbrbybryoorrwooboowrwgboybw
13,L2 F0 R1 L1 U0 R2 F2 ,gyrgwbgrogrgwrgoobwwyyggywwbbbbygryrorrwoobooyrwyboybw
14,F0 R1 L1 U0 R2 F2 ,byrbwbrrogrgwrgoobwwyoggwwwgbbgyggyrooboowrroyryybyybw
15,R1 L1 U0 R2 F2 ,byrbwbowbrrgrrgoobwowwgwwgyowggyggyroogoobrrbyryybyybw
16,L1 U0 R2 F2 ,byybwyowyggbrrorroworwgbwgbowwgywgyyoogoobrrbrrygbygbw
17,U0 R2 F2 ,wyywwywwyggbrrorrooorggbggbwwwyywyyygbbooroorrrogbbgbb
18,R2 F2 ,wwwwwyyyyrrorrorroggbggbggbwwwyywyyyoorooroorgbbgbbgbb
19,F2 ,wwwwwwyyyorrorrorrgggggggggwwwyyyyyyoorooroorbbbbbbbbb
20,U0 F0 B2 D0 R0 B0 F0 D2 L1 F0 ,obrywrwbbowybrooboroyggygggrrwoyrboybrgwoywwybwwgbggyr
21,F0 B2 D0 R0 B0 F0 D2 L1 F0 ,wyobwbbrrbwwbrooboowyggygggrrwoyrboyroywoywwybrggbggyr
22,B2 D0 R0 B0 F0 D2 L1 F0 ,wyobwbyyybwwrrorboggoggwgyyobboyrboyrorworwwwbrggbggyr
23,D0 R0 B0 F0 D2 L1 F0 ,yobbwbyyybwwrrwrbrggoggwgyyobboyroywooroorwwwryggbggrb
24,R0 B0 F0 D2 L1 F0 ,yobbwbyyybwwrrwgyyggoggwwwwoooyybwrbooroorgrbryggbgrbr
25,B0 F0 D2 L1 F0 ,yoobwwyywgrbyrwywwggoggbwwbooryygwrrooroorgrbyygbbgbbr
26,F0 D2 L1 F0 ,bwwbwwyywgrryrrywwggoggbwwbooryygoogoorooryrbbbybbyrgg
27,D2 L1 F0 ,bwwbwwbrryrryrrwwwwggwggbboyygyygoogooooooyrrbbybbyrgg
28,L1 F0 ,bwwbwwbrryrryrryrrwggwggrgggoogyygyyoooooowwwbbybbybbo
29,F0 ,wwwwwwrrryrryrryrrgggggggggoooyyyyyyoowoowoowbbbbbbbbb
30,U1 D2 L2 R0 B2 U2 R0 L2 F0 B2 ,wwyywwggybbboryooywwoygyggwrrbwybgogbbrrorwryrorgbbogo
31,D2 L2 R0 B2 U2 R0 L2 F0 B2 ,ywywwgwygwwooryooybbrygyggwrrbwybgogrorrorwrybbbgbbogo
32,L2 R0 B2 U2 R0 L2 F0 B2 ,ywywwgwygwwoorywrybbrygyogogogbywbrrrorrorooybbbgbbggw
33,R0 B2 U2 R0 L2 F0 B2 ,gwybwgbygwwoorywrywbrbgybgoyogwywwrryoororrorbbogbyggb
34,B2 U2 R0 L2 F0 B2 ,gwrbwybyowowrrwyyowbgbgwbgryogwygwrbyoororrorgbogbyygb
35,U2 R0 L2 F0 B2 ,brwbwybyoworrrryyywbgbgwbgryogwygrwgoooworworbgyybgobg
36,R0 L2 F0 B2 ,oybywbwrbooorrryyybgybgwbgryogwygrwgworworworwbgybgobg
37,L2 F0 B2 ,oyyywwwrryroyroyrobggbggbggyoowyyrwwworworworbbgbbgbbg
38,F0 B2 ,yyywwwrrryroyroyrogggggggggoooyyywwwrowrowrowbbbbbbbbb
39,B2 ,yyywwwwwwrrorrorrogggggggggyyyyyywwwroorooroobbbbbbbbb
40,B2 U1 F2 L0 B2 D2 R1 B2 F0 U1 ,yyrwworgowgworgoooyygygbogbgrywyyrrwrogrorbbygbbwbbbww
41,U1 F2 L0 B2 D2 R1 B2 F0 U1 ,wrrwworgowgborrooryygygbogbgrywyyryyooggorwbywwbbbwbbg
42,F2 L0 B2 D2 R1 B2 F0 U1 ,roorwgwwryygorrooroogygbogbgrywyyryywwbgorwbywgbbbwbbg
43,L0 B2 D2 R1 B2 F0 U1 ,roorwgyrgyygrrrborbgobgygoorwwwyyryywwogoowbywgbbbwbbg
44,B2 D2 R1 B2 F0 U1 ,goowwgbrgyygrrrborrgorgyyoobwwbyygyywgwbowyoowgrbbwbbr
45,D2 R1 B2 F0 U1 ,yygwwgbrgyyyrrbbowrgorgyyoobwwbyyoogrgwrowgoorbbwbbrgw
46,R1 B2 F0 U1 ,yygwwgbrgyyyrrbgoorgorgyrgwgooyybwwbrgwrowbowrbbwbbyoo
47,B2 F0 U1 ,yyywwwbrryboyroyrgrggrggrgggooyyywwwrgwrowbowbbbbbbooo
48,F0 U1 ,wwwwwwbrrybbyrryrrrggrggrgggooyyyyyyggwoowoowooobbbbbb
49,U1 ,wwwwwwwwwbbbrrrrrrrrrggggggyyyyyyyyygggooooooooobbbbbb
50,F1 L2 R1 U1 D2 F0 U2 L2 B2 F1 ,wwrywggyyrrbyrggogrgbbgoowoyoywybwrworyyowggbwrbobbobr
51,L2 R1 U1 D2 F0 U2 L2 B2 F1 ,wwrywgrygyrborgyogbooggwrboywbwybwrworyyoygggwrbobbobr
52,R1 U1 D2 F0 U2 L2 B2 F1 ,ywrwwgwygyrborgyogroobgwbbowwbyybrrwgggyoyyrowrrobgobb
53,U1 D2 F0 U2 L2 B2 F1 ,ywowwowywbggrroyoyrorbggbbgwwoyywrrogggyoyyrowrrbbgbbb
54,D2 F0 U2 L2 B2 F1 ,oowwwyywwrorrroyoygggbggbbgwwoyywrrowrryoyyrobggbbgbbb
55,F0 U2 L2 B2 F1 ,oowwwyywwrorrroyrogggbggbbborrwyyowwwrryoyyoybggbbgbbg
56,U2 L2 B2 F1 ,oowwwyyyryorwrowrobbgbggbggyrrwyyowwwroyoryorbggbbgbbg
57,L2 B2 F1 ,ryyywwwoowrowrowrobggbggbggyrrwyyowwyoryoryorbbgbbgbbg
58,B2 F1 ,yyywwwooowrowrowrogggggggggrrryyywwwroyroyroybbbbbbbbb
