,mvt,rbk_str
0,R0 U1 L0 R2 U2 D0 L0 B2 D0 L2 ,byywwgowbwrogrooogwboygwbbyrygyyggbyyogrorrowbgrbbwrrw
1,U1 L0 R2 U2 D0 L0 B2 D0 L2 ,byowwwowyogworrgoowbgyggbbyryryybgbbyogrorrowbgrgbwyrw
2,L0 R2 U2 D0 L0 B2 D0 L2 ,owyywwbwowbgorrgooyogyggbbyryryybgbbbgrrorrowogwgbwyrw
3,R2 U2 D0 L0 B2 D0 L2 ,wwywwwwwowbgorrgoooogyggbbyyyryybbbbrrboogwrrogggbyyrr
4,U2 D0 L0 B2 D0 L2 ,wwrwwbwwboogrrogbwooyyggbboyyyyywbborrboogwrrygggbygrr
5,D0 L0 B2 D0 L2 ,bwwbwwrwwrrbrrogbwyggyggbboyyyyywbbooogoogwrrooygbygrr
6,L0 B2 D0 L2 ,bwwbwwrwwrrbrrobboyggyggwrrbyybyyowyoogooggrrooygbygbw
7,B2 D0 L2 ,wwwywwywwrrbrrobbobggbggrrryyyyyywwygooroorggooogbbgbb
8,D0 L2 ,ywwywwywwrrrrrrbbgbggbggrrryyyyyywwwoooooobggbbgbbgooo
9,L2 ,ywwywwywwrrrrrrrrrbggbggbggwyywyywyyooooooooobbgbbgbbg
10,B2 U2 L2 D1 R1 U2 D1 B0 R0 L2 ,rbowwggwrbrygrogobogybgywyybrrbywboogrwooyyrrgwwbbywgo
11,U2 L2 D1 R1 U2 D1 B0 R0 L2 ,oobwwggwrbrygrogogogybgywyybrrbywobrbrwooyyrrogwybbwwg
12,L2 D1 R1 U2 D1 B0 R0 L2 ,rwggwwboobrwgrogogogwbgywyybrrbywobrbryooyyrrogyybbwwg
13,D1 R1 U2 D1 B0 R0 L2 ,bwgbwwooobrwgrogogggwbgyyyyrrrgywbbrrryyooyrbogwybbwwo
14,R1 U2 D1 B0 R0 L2 ,bwgbwwooobrwgrowwoggwbgygogrwrrybrgbrryyooyyyogwybbyrb
15,U2 D1 B0 R0 L2 ,bwybwyooowoorrwbgwgggbgwgoorwwryyrggrryyooyyybgwbbbrrb
16,D1 B0 R0 L2 ,oooywbywbrryrrwbgwbgwbgwgoorwwryyrggwooyooyyygggbbbrrb
17,B0 R0 L2 ,oooywbywbrryrrwrrbbgwbgwbgwwygwygrrrwooyoogoogggbbbyyy
18,R0 L2 ,ywbywbywbrrrrrrrrrbgwbgwbgwwygwygwygoooooooooybgybgybg
19,L2 ,ywwywwywwrrrrrrrrrbggbggbggwyywyywyyooooooooobbgbbgbbg
20,F2 U2 R1 L2 U1 F2 L1 U1 B1 D1 ,wrowwgrwyoobbrowyobrgygyywrgbbyyrrowggyrogworybowbgbbg
21,U2 R1 L2 U1 F2 L1 U1 B1 D1 ,wrowwgbbgrobgroyyorwyygygrbywryyrrowggwrobwooybowbgbbg
22,R1 L2 U1 F2 L1 U1 B1 D1 ,gbbgwworwggwgroyyoyboygygrbywryyrrowrobrobwoorwywbgbbg
23,L2 U1 F2 L1 U1 B1 D1 ,gbbgwworrwoogryggyybbygwgrwywoyyyrobrobrobwoowwyrbgrbg
24,U1 F2 L1 U1 B1 D1 ,ybbywwrrrwoogryggygbbggwyrwgwogyyooboowborborwwgrbyrby
25,F2 L1 U1 B1 D1 ,bwrbwryyrgbbgryggyoowggwyrwgwogyyoobwwgborborwoorbyrby
26,L1 U1 B1 D1 ,bwrbwrowgrbbrryggywrywggwooryygyyoobwwgbogbogwoorbyrby
27,U1 B1 D1 ,wwrwwrwwgrbbrryggyrrygggoooyyyyyyoobgggwoowbbwoorbbrbb
28,B1 D1 ,rrgwwwwwwrryrryggyggggggoooyyyyyyoobwoowoowbbrbbrbbrbb
29,D1 ,wwwwwwwwwrrrrrrgggggggggoooyyyyyyyyyoooooobbbbbbbbbrrr
30,B2 F1 D1 L0 F0 R0 B2 U2 L0 R2 ,obbbwwwoygoworroywrbrrggogggywwyobybywgrogrgyrrbybwoby
31,F1 D1 L0 F0 R0 B2 U2 L0 R2 ,bybbwwwoygororroyyrbrrggogggywwyobbowwgrogwgyybowbybrr
32,D1 L0 F0 R0 B2 U2 L0 R2 ,bybbwwgooworyrrgyyrggbggrroggywyobbowwyroowgwybowbybrr
33,L0 F0 R0 B2 U2 L0 R2 ,bybbwwgooworyrrbrrrggbgggyyyoogybgwbwwyroorroybowbywgw
34,F0 R0 B2 U2 L0 R2 ,wybywwoooworyrrbrrbggbgggyyroobybgwbrrwrowooyybgwbgwgy
