,mvt,rbk_str
0,F1 U1 B1 F2 R0 U1 D0 B2 F2 R1 ,oywbwbwbowwgbrybogbygrgooyogrwwygyryyrrwogbgyrgboborwr
1,U1 B1 F2 R0 U1 D0 B2 F2 R1 ,oywbwbwbbwwgrrygoggooygybrorgywygyryyrowobbgwrgboborwr
2,B1 F2 R0 U1 D0 B2 F2 R1 ,wbbywbobwgoorrygogyroygybrorgywygyryrgbwobbgwwwgoborwr
3,F2 R0 U1 D0 B2 F2 R1 ,bwrywbobwgowrrbgobyroygybrorgywyggyoygbrobygwgorwbwwor
4,R0 U1 D0 B2 F2 R1 ,bwrywbygrwowbrbboborbygyorywbowyggyoyggrorygggorwbwwor
5,U1 D0 B2 F2 R1 ,bwbywyygybbworobbworoyggorowbwwywgygyggroryggrorbbwror
6,D0 B2 F2 R1 ,byywwgbyyoroorobbwyggyggorowbwwywgygrorroryggbbwbbwror
7,B2 F2 R1 ,byywwgbyyoroorooroyggyggygggwwyybgwwrorrorrorbbwbbwbbw
8,F2 R1 ,wwgwwgbyyorrorrorryggyggygggwwyybyyboorooroorwbbwbbwbb
9,R1 ,wwgwwgwwgrrrrrrrrrggyggyggyyybyybyybooooooooowbbwbbwbb
10,L2 F1 U2 R0 L1 U1 R0 L1 F0 B0 ,rbywwyrgyooobryorygrgggybogybwyyworrwowoowwrrbwbgbggbb
11,F1 U2 R0 L1 U1 R0 L1 F0 B0 ,ybyywyogyooobryorybrgggybogrbwwywrrrrrwwoowowbwbgbggbg
12,U2 R0 L1 U1 R0 L1 F0 B0 ,ybyywyobowoobryrrygygrgobgbwowwywrrrrrywogwoobwbgbggbg
13,R0 L1 U1 R0 L1 F0 B0 ,oboywyybyrrybryrrybwbrgobgbwowwywrrrwoowogwoogyggbggbg
14,L1 U1 R0 L1 F0 B0 ,obbywoybbrbrrrryyybwwrgwbgrwogwygrrgwoowogwooyygybgobg
15,U1 R0 L1 F0 B0 ,bbbrwobbbrbrrrryyywwwwgwrgrgoggyggrgogoooowwwyyyybyobo
16,R0 L1 F0 B0 ,bobbwbbrbwwwrrryyyogowgwrgrgoggyggrgyyyooowwwrbrybyobo
17,L1 F0 B0 ,boobwwbrryrwyrwyrwoggwggrgggoogyygrryyyooowwwbbrbbybbo
18,F0 B0 ,ooowwwrrryrwyrwyrwgggggggggoooyyyrrryowyowyowbbbbbbbbb
19,B0 ,ooowwwwwwrrwrrwrrwgggggggggyyyyyyrrryooyooyoobbbbbbbbb
20,D2 L0 F0 D1 U1 L0 F2 D2 B2 U0 ,ogrgwyboygbwbrowbgrgrygrboowygwywyroywwrogboogrbbbwyyr
21,L0 F0 D1 U1 L0 F2 D2 B2 U0 ,ogrgwyboygbwbroboorgrygryyrorywywgywywwrogwbggrbbbwboo
22,F0 D1 U1 L0 F2 D2 B2 U0 ,ogrwwyboygbwbrobooogrggrbyrrryyywyywwrybowggwgrgbbwboo
23,D1 U1 L0 F2 D2 B2 U0 ,ogrwwywwybbworoyoobgoyggrrrbbgyywyywwrrborggygrgbbwboo
24,U1 L0 F2 D2 B2 U0 ,ogrwwywwybbworoboobgoyggyoogwwbyybyywrrborrrrgrgbbwggy
25,L0 F2 D2 B2 U0 ,ryygwwowwbgooroboowrryggyoogwwbyybyygrgborrrrbbwbbwggy
26,F2 D2 B2 U0 ,yyywwwwwwbgooroboorrrgggooowwwyyyyyyrbgrorrrgbbbbbbggg
27,D2 B2 U0 ,yyywwwwwwggorrogooooogggrrrwwwyyyyyyrbbroorrbbbbbbbggg
28,B2 U0 ,yyywwwwwwggorrorrboooggggggyyyyyywwwrbbroogoobbbbbbrrr
29,U0 ,wwwwwwwwwgggrrrrrroooggggggyyyyyyyyybbboooooorrrbbbbbb
30,L2 B0 D1 U1 L0 R1 U2 D0 R2 L1 ,brwgwwgbybgrbrwgrgyrorgyoowbyowywroyyoogogwbwbyrobyrbg
31,B0 D1 U1 L0 R1 U2 D0 R2 L1 ,brwwwwrbybgrbrwgrggroygyrowbyogywgoywbwgogooybyoobrrby
32,D1 U1 L0 R1 U2 D0 R2 L1 ,rwgwwwrbybgybrogrggroygyrowbyogywwgowbwrogboyrobbbyyro
33,U1 L0 R1 U2 D0 R2 L1 ,rwgwwwrbybgybroyrogroygygrgowoyygbgwwbwrogrowrobbbyboy
34,L0 R1 U2 D0 R2 L1 ,gwywwbrwrgrobroyrowbwygygrgowoyygbgwrobrogrowbgybbyboy
35,R1 U2 D0 R2 L1 ,ywyywbywrgrobroyrogbwwgyrrgwwoyygggwrrrooowgbbgbbbyboo
36,U2 D0 R2 L1 ,ywbywbywbooorrrgbygbywgbrrrwwwyyygggrrrooowgbwgbgbyooo
37,D0 R2 L1 ,bwybwybwyrrrrrrgbywgbwgbrrrwwwyyygggoooooowgbgbygbyooo
38,R2 L1 ,bwybwybwyrrrrrrrrrwgbwgbwgbgywgywgywooooooooogbygbygby
39,L1 ,bwwbwwbwwrrrrrrrrrwggwggwgggyygyygyyooooooooobbybbybby
40,L0 B2 F2 U2 L0 F2 D2 B2 U0 R2 ,oyggwbywbrrrrrboogrowggwobbwyybyygyybobgoroogwgwwbwrry
