,mvt,rbk_str
0,D1 R2 U0 F1 L2 R0 F1 U1 R1 L1 ,wwybwrrgrggorroywgbowygbggrowgyybwooboyyorbbwbrrwbgyyo
1,R2 U0 F1 L2 R0 F1 U1 R1 L1 ,wwybwrrgrggorroyyobowygbywggbowyooywboyyorggrbrrwbgbbw
2,U0 F1 L2 R0 F1 U1 R1 L1 ,wwobworgwoyyorroggbobygwywbgbywyroyrboyyorggrgrrbbgwbw
3,F1 L2 R0 F1 U1 R1 L1 ,rbwgwwwoogrrorroggoyyygwywbgbywyroyrbobyorggrboybbgwbw
4,L2 R0 F1 U1 R1 L1 ,rbwgwwgooyrrbrrgggywbygwoyybrrwyroyrbooyooggwboybbgwbw
5,R0 F1 U1 R1 L1 ,bbwwwwoooyrrbrrgggwwbggwyyyrrrgyrgyrwggooyoobboobbywby
6,F1 U1 R1 L1 ,bbbwwwooygbygrrgrrwwrggryyrrrwgybgybwggooyoobooowbywby
7,U1 R1 L1 ,bbbwwwgggwbyrrrrrrrrrwgywgygybgybgybwgyooooooooowbywby
8,R1 L1 ,bwgbwgbwgrrrrrrrrrwgywgywgygybgybgybooooooooowbywbywby
9,L1 ,bwwbwwbwwrrrrrrrrrwggwggwgggyygyygyyooooooooobbybbybby
10,L2 D1 B0 R0 U0 D1 L2 R0 D1 U1 ,ooyowywybwgrrrbggybborgwgrryywwywywbwyroogooogggrbbrbb
11,D1 B0 R0 U0 D1 L2 R0 D1 U1 ,yoywwyyybwgrrrbggybbobgwgrroywoywwwbooogoorywgggrbrrbb
12,B0 R0 U0 D1 L2 R0 D1 U1 ,yoywwyyybwgrrrbrbbbbobgwggywwbyywoowooogoogrrgggrbrryw
13,R0 U0 D1 L2 R0 D1 U1 ,rbbwwyyybwgwrrorbobbobgwggywwbyywoggyoooooyrrrrgybgwrg
14,U0 D1 L2 R0 D1 U1 ,rbowwwyyyrrwbrgoowbbbbgwgggwwwyyyogryoooooyrrbrgybgbrg
15,D1 L2 R0 D1 U1 ,ywrywbywobrgbrgoowrrwbgwgggwwwyyyogrbbboooyrryooybgbrg
16,L2 R0 D1 U1 ,ywrywbywobrgbrgbrgrrwbgwoowwyrwygwyobbbooogggyooybgyrr
17,R0 D1 U1 ,wwrwwbwwobrgbrgbrgrrwggwoowyyryygyyogggooobbbyooybbyrr
