,mvt,rbk_str
0,U1 R2 L1 D1 R1 U0 B1 D1 F0 R0 ,obwwwbryybrgwrgwygyoorgrrbrbybgygwrwgogboybwyrwyoboogo
1,R2 L1 D1 R1 U0 B1 D1 F0 R0 ,wbybwyowryoowrgwyggogrgrrbrbybgygwrwrwyboybwybrgoboogo
2,L1 D1 R1 U0 B1 D1 F0 R0 ,wbbbwgowwgywgrwooygoorgorbbbyygyywrrrwyboybwyrrgrboggo
3,D1 R1 U0 B1 D1 F0 R0 ,gbbrwgrwwgywgrwooybooggowbboyyoyygrryyywowrbbrrorbbggw
4,R1 U0 B1 D1 F0 R0 ,gbbrwgrwwgywgrwggwbooggoooyyyryyroogyyywowwbbrrorbbrbb
5,U0 B1 D1 F0 R0 ,gbrrwrrwrwwwyrggggbobgggoowyyoyyoooyyyywowwbbgrorbbrbb
6,B1 D1 F0 R0 ,rrgwwbrrrgroyrggggwwwgggoowyyoyyoooybobwowwbbyyyrbbrbb
7,D1 F0 R0 ,wwbwwbrrrgrryrrgggwwwgggoowyyoyyoggoooboowybbybbybbyrr
8,F0 R0 ,wwbwwbrrrgrryrryrrwwwggggggoooyygyygooboowoowybbybbybb
9,R0 ,wwbwwbwwbrrrrrrrrrggwggwggwyygyygyygoooooooooybbybbybb
10,U0 F2 B0 L0 U1 B2 D1 F1 U2 D0 ,byggwyrrbygworwogoyyrbgyooyywgbyrrowrogwowwrbobwrbgbbg
11,F2 B0 L0 U1 B2 D1 F1 U2 D0 ,rgbrwybygobworwogoygwbgyooyywgbyrrowyyrwowwrbrogrbgbbg
12,B0 L0 U1 B2 D1 F1 U2 D0 ,rgbrwygwybbwwrwrgoyooygbwgygybbyrrowyyowoowrorogrbgbbg
13,L0 U1 B2 D1 F1 U2 D0 ,wworwygwybbwwrorgryooygbwgygybbyrywwbyogoorrobrrbboggg
14,U1 B2 D1 F1 U2 D0 ,gwoowyrwybbwwrorgrwoorgbggyyybyyrwwwrgbroyooobrybbbggg
15,B2 D1 F1 U2 D0 ,oyywwwgorwoowrorgrrgbrgbggyyybyyrwwwbryroyooobbwbbbggg
16,D1 F1 U2 D0 ,wwwwwwgorwoowrrrgbrgbrgbggyyybyyryyorryooyooogggbbbwbb
17,F1 U2 D0 ,wwwwwwgorwoowrrwbbrgbrgbrgbbroyyyyyyrryooyggygggbbbooo
18,U2 D0 ,wwwwwwwwwooorrrbbbbbbgggrrryyyyyyyyyrrroooggggggbbbooo
19,D0 ,wwwwwwwwwrrrrrrbbbggggggrrryyyyyyyyyoooooogggbbbbbbooo
20,F1 R1 B2 D2 F2 R1 D0 U1 L1 F0 ,rwyrwwybowogyrywogbygwgrbogwgrbyyrbybgobogbroorygbwrow
21,R1 B2 D2 F2 R1 D0 U1 L1 F0 ,rwyrwwwywroggrywoggrgygobwbogobyyrbybgobobbryorygbwrow
22,B2 D2 F2 R1 D0 U1 L1 F0 ,rwrrwgwyogygororgwgryygwbwwoggbyorbbbgobobbryyryybwoow
23,D2 F2 R1 D0 U1 L1 F0 ,bbrrwgwyogyborbrgbgryygwbwwoggbyorwrwgooobgrywoowbyyry
24,F2 R1 D0 U1 L1 F0 ,bbrrwgwyogyborbgrygryygwyryrwroybggowgooobrgbwoowbybww
25,R1 D0 U1 L1 F0 ,bbrrwgrwrbybbrboryyrywgyyrgoywoybggowggooorggwoowbybww
26,D0 U1 L1 F0 ,bbbrwwrwwbbyyrrbboyrrwggyrroyyoyygggwggooorggooobbywww
27,U1 L1 F0 ,bbbrwwrwwbbyyrryrryrrwggrgggoogyygyywggooowwwooobbybbo
28,L1 F0 ,bwwbwwbrryrryrryrrwggwggrgggoogyygyyoooooowwwbbybbybbo
29,F0 ,wwwwwwrrryrryrryrrgggggggggoooyyyyyyoowoowoowbbbbbbbbb
30,F0 L0 R1 B2 D2 R1 F2 U1 D0 B1 ,ywwgwogggobgyroywbyywrgowbrbygrybywobrogoybbrrrogbwwor
31,L0 R1 B2 D2 R1 F2 U1 D0 B1 ,ywwgworyogbggrogwbwrybgyrowyyorybywobrbgoybbgrrogbwwor
32,R1 B2 D2 R1 F2 U1 D0 B1 ,rwwwwooyogbggrogwbyryggyrowwyobybrwobgbborgybrrygbrwoy
33,B2 D2 R1 F2 U1 D0 B1 ,rwwwwgoyrgobbrwgggyrwggoroowyybyyrwwbgbborgyborybbrooy
34,D2 R1 F2 U1 D0 B1 ,wwrwwgoyrgogbrbggbyrwggoroowyybyywwrggbworbybyoorbbyro
35,R1 F2 U1 D0 B1 ,wwrwwgoyrgogbrbbybyrwggoyrorwwyybyywggbworggbyoorbbroo
36,F2 U1 D0 B1 ,wwrwwroyygbborygbbyrrgggyrrrwwyyoyyoggbworggbwoobbbwoo
37,U1 D0 B1 ,wwrwwrwwrbbbrrybbbrrygggrryyyoyyoyyogggwoogggwoobbbwoo
38,D0 B1 ,rrrwwwwwwrryrrybbbggggggrryyyoyyoyyowoowoogggbbbbbbwoo
39,B1 ,rrrwwwwwwrryrryrrygggggggggyyyyyyooowoowoowoobbbbbbbbb
40,U1 L1 F1 B2 D0 R0 F0 B2 D1 U2 ,oywwwywbrwbgrrrrggoobwgggwyyobyywyyywbbgorooorggbborrb
41,L1 F1 B2 D0 R0 F0 B2 D1 U2 ,wyrywbowwoobrrrrggwbbwgggwyyobyywyyyrgggorooowbgbborrb
42,F1 B2 D0 R0 F0 B2 D1 U2 ,wyrwwbgwwoobrrrrggybbyggywyboboywgyygrogoorgowbobbyrrw
43,B2 D0 R0 F0 B2 D1 U2 ,wyrwwborrboborrbggbgybgwyyyooooywgyygrwgowrggwbobbyrrw
44,D0 R0 F0 B2 D1 U2 ,yygwwborrbororgbggbgybgwyyyooooywrywgrwrowbggwrrybbobw
45,R0 F0 B2 D1 U2 ,yygwwborrbororgyyybgybgwbggrooyyowwogrwrowobwwrrybbbgg
46,F0 B2 D1 U2 ,yyywwworgyobyroygrbgobgobgorobyyywwwgrwrowobwrrrbbbggg
47,B2 D1 U2 ,yyywwwwwwoobrroggrbbbgggoooyyyyyywwwgrrrooobbrrrbbbggg
48,D1 U2 ,wwwwwwwwwooorrrgggbbbgggoooyyyyyyyyyrrrooobbbgggbbbrrr
49,U2 ,wwwwwwwwwooorrrrrrbbbggggggyyyyyyyyyrrroooooogggbbbbbb
50,U2 D1 L0 R1 F0 D1 U2 F1 L0 U2 ,rwgowgyowbwwgroygogyrygrgrbywryyyybwgbrooboroobwgbwbrb
51,D1 L0 R1 F0 D1 U2 F1 L0 U2 ,woygwogwrgbrgroygoobwygrgrbywryyyybwbwwooborogyrgbwbrb
52,L0 R1 F0 D1 U2 F1 L0 U2 ,woygwogwrgbrgrobrbobwygrygorywwybyyybwwoobgrbgyrgbworo
53,R1 F0 D1 U2 F1 L0 U2 ,ooywworwrgbrgrobrbwbwggrggooywyybyyygobrowbbwgyygbworr
54,F0 D1 U2 F1 L0 U2 ,ooowwgrwgrobbrrggbwbyggoggroywyyryyogobrowbbwyyybbwwrr
55,D1 U2 F1 L0 U2 ,ooowwgwwbrobwrrggbggwggbroygbryyryyogooroybbwyyybbwwrr
56,U2 F1 L0 U2 ,ooowwgwwbrobwrrwrrggwggbggbrrobyygyygooroyroyyyybbwbbw
57,F1 L0 U2 ,bwwgwwooogoowrrwrryyyggbggbrrobyygyyrobroyroyggwbbwbbw
58,L0 U2 ,bwwgwwgwwooorrrrrrybbyggyggbyybyygyyrooroorooggwbbwbbw
59,U2 ,wwwwwwwwwooorrrrrrbbbggggggyyyyyyyyyrrroooooogggbbbbbb
60,B0 L0 U1 D2 F0 B1 R2 D0 B2 R1 ,rbbgwrowryyybrwbgbgbgggrywwrrrbyywyogwyooroyboowobgwog
61,L0 U1 D2 F0 B1 R2 D0 B2 R1 ,ywbgwrowryyobrybgwgbgggrywwrrrbyygoobwyborrybwoooboggw
62,U1 D2 F0 B1 R2 D0 B2 R1 ,wwbowrowryyobrybgwybgggrowwgrrgyyyoorbbyowbrywogobbggr
63,D2 F0 B1 R2 D0 B2 R1 ,brrwwwwooybgbrybgwrbbggrowwgrrgyyyoowogyowbryyyoobbggr
64,F0 B1 R2 D0 B2 R1 ,brrwwwwooybgbrybryrbbggrggrooyyygrrgwogyowbgwyyoobboww
65,B1 R2 D0 B2 R1 ,brrwwwwwgwbgoryoryggrggbrrbbbyyygrrgwooyoobgyyyoobboww
66,R2 D0 B2 R1 ,bywwwwwwgwbborrorrggrggbrrbbbyyygyygroorooggyobwybwyoo
67,D0 B2 R1 ,byywwgwwgrrorrobbwggyggyrrobbwyywyygroorooggybbwbbwroo
68,B2 R1 ,byywwgwwgrrorrorroggyggyggyyybyybgwwroorooroobbwbbwbbw
69,R1 ,wwgwwgwwgrrrrrrrrrggyggyggyyybyybyybooooooooowbbwbbwbb
70,R1 F0 D1 U1 B2 D2 U1 B1 L1 D2 ,wwbwwobrbryryrbywwogwbgrgwryogbybbgorryyoroooyggybggow
71,F0 D1 U1 B2 D2 U1 B1 L1 D2 ,wwgwwybryrbwyrwryyogbbgogwbyowbyrbgrrryyorooooggbbggow
72,D1 U1 B2 D2 U1 B1 L1 D2 ,wwgwwyorybbwrrwyyygbowggbobryrbyrbgrrryyoooowoggbbggow
73,U1 B2 D2 U1 B1 L1 D2 ,wwgwwyorybbwrrwgowgbowggyyyrrryygrbbrryyooboboggbbgoow
74,B2 D2 U1 B1 L1 D2 ,gyywwrwwogborrwgowrrywggyyyrrryygrbboggyoobobbbwbbgoow
75,D2 U1 B1 L1 D2 ,bbrwwrwwogbbrrygoorrywggyyyrrryygyygwggwoooobwoogbbwbb
76,U1 B1 L1 D2 ,bbrwwrwwogbbrryoobrrywggwbbgyygyyrrrwggwoogoowoogbbyyy
77,B1 L1 D2 ,rrobwwbwwrryrryoobwggwggwbbgyygyyrrrwoowoogoogbbgbbyyy
78,L1 D2 ,gwwbwwbwwrrrrrrooowggwggwbbgyygyybyyroorooroobbybbyggy
79,D2 ,wwwwwwwwwrrrrrroooggggggbbbyyyyyyyyyoooooorrrbbbbbbggg
80,F2 D2 L2 B1 D2 L2 F2 U1 R0 L1 ,grwgwwgrwbbbbrbbobywrwgowgrgyywyggyyrroooorgooyyrbyobw
81,D2 L2 B1 D2 L2 F2 U1 R0 L1 ,grwgwwyygobborboobrgwogwrwywrgwyggyyrrboobrgboyyrbyobw
82,L2 B1 D2 L2 F2 U1 R0 L1 ,grwgwwyygobborbrgbrgwogwobwyyggywgrwrrboobooboyyrbyrwy
83,B1 D2 L2 F2 U1 R0 L1 ,yrwgwwgygobborbrgbygwygwybwgyggywyrwbooboobrroyorborwr
84,D2 L2 F2 U1 R0 L1 ,bbbgwwgygobyorrrgwygwygwybwgyggywbbbyooroowrroorybworr
85,L2 F2 U1 R0 L1 ,bbbgwwgygobyorrwrrygwygworrbbbwyggygyooroorgwoorybwybw
86,F2 U1 R0 L1 ,bbbwwwgygobyorrwrrwgwwgwrrrbbbgyggygwgroorooyoooybyyby
87,U1 R0 L1 ,bbbwwwbbbybyrrrrrrrrrwgwwgwgyggyggygwgwoooooooooybyyby
88,R0 L1 ,bwbbwbbwbrrrrrrrrrwgwwgwwgwgyggyggygoooooooooybyybyyby
89,L1 ,bwwbwwbwwrrrrrrrrrwggwggwgggyygyygyyooooooooobbybbybby
90,B1 F2 R0 B2 U0 L2 R1 B2 U2 D0 ,worywgoyybowrrgrbrwrowgbwggbyywyygoyoogwoborrgbbrbgbwy
91,F2 R0 B2 U0 L2 R1 B2 U2 D0 ,owoywgoyybowrrorbrwrowgbwggbyywyyrgwgogoobyrrbgybbwgrb
92,R0 B2 U0 L2 R1 B2 U2 D0 ,owoywgyybrowbrogbrggwbgworwyyowyyrgwgorooryrbbgybbwgrb
93,B2 U0 L2 R1 B2 U2 D0 ,owwywwyywgbrbrorowggobgyorwyygwybrgbgorooryrbbgygbworb
94,U0 L2 R1 B2 U2 D0 ,bgrywwyywgbybrorogggobgyorwyygwybwwoworoorrrbbrowbgygb
95,L2 R1 B2 U2 D0 ,yybywgwwrbrobroroggbybgyorwyygwybwwoggooorrrbworwbgygb
96,R1 B2 U2 D0 ,yybwwgwwrbrobrorogbbyggyrrwyygyybwwobrrroooggwoowbbygg
97,B2 U2 D0 ,yyywwwwwwoogrrobbrbbbgggrrryyyyyywwwbrrroooggooobbbggg
98,U2 D0 ,wwwwwwwwwooorrrbbbbbbgggrrryyyyyyyyyrrroooggggggbbbooo
99,D0 ,wwwwwwwwwrrrrrrbbbggggggrrryyyyyyyyyoooooogggbbbbbbooo
100,L2 R1 B2 D1 U2 F2 R1 L2 U1 F1 ,obgywbbwwroyrrogywyogwgwogoyoygygrrbwbrrobbwbrrgybyogw
