,mvt,rbk_str
0,U1 L2 B0 D0 U0 F2 L1 B0 R0 L2 ,wwgbwogygywworbyybwgoogyrrbwgroyrywyoyrrobrgbogbrbwobg
1,L2 B0 D0 U0 F2 L1 B0 R0 L2 ,gogwwywbgwgoorbyyboyrogyrrbwgroyrywyogbrobrgbywwrbwobg
2,B0 D0 U0 F2 L1 B0 R0 L2 ,wogowyybgwgoorbyybgyrwgywrbggrwyrwwybgrborbgoywrrboobo
3,D0 U0 F2 L1 B0 R0 L2 ,obbowyybgwgyorwyywgyrwgywrbggrwyrbbbggroorwgoorybbwoor
4,U0 F2 L1 B0 R0 L2 ,obbowyybgwgyorwwrbgyrwgywgobwgbygbrrggrooroororybbwyyw
5,F2 L1 B0 R0 L2 ,yoobwbgyboryorwwrbwgywgywgobwgbygbrrgyrooroorggrbbwyyw
6,L1 B0 R0 L2 ,yoobwbgwbrryrrwrrbogwygwygwbygbygbrrgywooooooggrbbwyyw
7,B0 R0 L2 ,oooywbywbrryrrwrrbbgwbgwbgwwygwygrrrwooyoogoogggbbbyyy
8,R0 L2 ,ywbywbywbrrrrrrrrrbgwbgwbgwwygwygwygoooooooooybgybgybg
9,L2 ,ywwywwywwrrrrrrrrrbggbggbggwyywyywyyooooooooobbgbbgbbg
10,R1 U1 F2 D1 L0 B0 D1 F0 B2 L2 ,wgyrwwowwbbborbyyrgrrggwggorrboyboowoyyooyggyrwbrbygbw
11,U1 F2 D1 L0 B0 D1 F0 B2 L2 ,wggrwrowrbbrbryboygryggwggwrrroywooooyyooyggywwbbbybbw
12,F2 D1 L0 B0 D1 F0 B2 L2 ,grrgwwwrogrybryboyoyyggwggwrrroywooowwbooyggybbrbbybbw
13,D1 L0 B0 D1 F0 B2 L2 ,grrgwwrrryryyryboywggwggyyoorwoywooowwboobgggbbrbbybbw
14,L0 B0 D1 F0 B2 L2 ,grrgwwrrryryyrybbwwggwggboywworyoooowwboobyyobbrbbyggg
15,B0 D1 F0 B2 L2 ,grrywwrrryryyrybbwggggggroywwowyobooyowyowobbbbobbrggw
16,D1 F0 B2 L2 ,yywywwrrryroyrobbbggggggroywwowyoyyorowrowgbbgbbgbbwro
17,F0 B2 L2 ,yywywwrrryroyrowroggggggbbbooowyywwyrowrowroygbbgbbgbb
18,B2 L2 ,yywywwywwrrorrorrobggbggbggwyywyywwyroorooroogbbgbbgbb
19,L2 ,ywwywwywwrrrrrrrrrbggbggbggwyywyywyyooooooooobbgbbgbbg
20,F1 D2 U0 B2 R1 L0 D1 F2 R2 U1 ,ogrwwybbyggybrgoorwyrogrywborygybgybwborowrrgbogwbywow
21,D2 U0 B2 R1 L0 D1 F2 R2 U1 ,ogrwwygboygyrrgoorrrbygwwoyowggybgybwbyrobrrbbogwbywow
22,U0 B2 R1 L0 D1 F2 R2 U1 ,ogrwwygboygyrrgrrbrrbygwwowbygbyggwowbyroboorbogwbywoy
23,B2 R1 L0 D1 F2 R2 U1 ,gwobwgoyrbogrrgrrbygyygwwowbygbyggworrbroboorwbywbywoy
24,R1 L0 D1 F2 R2 U1 ,owgbwgoyrboorrrrrrygyygwwowbygbygowgbrbgobgoryowybwybw
25,L0 D1 F2 R2 U1 ,owybwyoyyorrorrbrryggyggworbyybywowwbrbgobgorgowgbwgbw
26,D1 F2 R2 U1 ,wwywwywyyorrorrbrroggbggooryyyyywwwwggboorrbbgoogbbgbb
27,F2 R2 U1 ,wwywwywyyorrorrgbboggbggbrrywwyywyywggbooroorgoogbbrbb
28,R2 U1 ,wwywwywwyrrrrrrbbbrrbggbggoyywyywyywgggoooooogoogbbrbb
29,U1 ,wwwwwwwwwbbbrrrrrrrrrggggggyyyyyyyyygggooooooooobbbbbb
30,B2 L0 R0 B2 F2 L2 D1 B2 L1 R0 ,oyrwwwwgwoowrrbrrwbobbgbgggywyyyyrgoyrrgooyoogbbwbygrb
31,L0 R0 B2 F2 L2 D1 B2 L1 R0 ,ogrwwwwgwooyrrgrrybobbgbgggywyyyyryowrrboowoobrgybwbbg
32,R0 B2 F2 L2 D1 B2 L1 R0 ,ggrwwwggwooyrrgrryoobwgbwggbwybyygyowbwooroorbrrybybby
33,B2 F2 L2 D1 B2 L1 R0 ,ggbwwbgggrrorroygyooywgywgobwbbyygybwbwooroorwrrwbyrby
34,F2 L2 D1 B2 L1 R0 ,bygwwbgggrrorroygwooywgywgobwbbyybggybwooroorybrybwrrw
35,L2 D1 B2 L1 R0 ,bygwwbbwbrrorrowgwogwygwyoogggbyybggybyooroorybrybwrrw
36,D1 B2 L1 R0 ,gygbwbbwbrrorrowgwwgwwgwroobggwyybggroorooybyybyybyrro
37,B2 L1 R0 ,gygbwbbwbrrorrorrowgwwgwwgwgyggygbwbrooroorooybyybyyby
38,L1 R0 ,bwbbwbbwbrrrrrrrrrwgwwgwwgwgyggyggygoooooooooybyybyyby
39,R0 ,wwbwwbwwbrrrrrrrrrggwggwggwyygyygyygoooooooooybbybbybb
40,F0 B2 R0 L0 F1 U1 L0 D2 F1 R2 ,rrrbwgobowrwwrgwybgwgwggobbyoowyrbgryyyoorwobgbgobyyyr
41,B2 R0 L0 F1 U1 L0 D2 F1 R2 ,rrrbwgbryorwbrgoybowgbgwbggwwwwyrbgryyyooowoogbgobyyyr
42,R0 L0 F1 U1 L0 D2 F1 R2 ,rgbbwgbryorwbrooyyowgbgwbggwwwwyrrrrbyygoowooryyybogbg
43,L0 F1 U1 L0 D2 F1 R2 ,rggbwwbrgoboyrryowowwbgrbgrwwgwyyrrrbyygoowooyyygbobbg
44,F1 U1 L0 D2 F1 R2 ,gggowwyrgoboyrryowrwwbgrbgrowgbyybrrwgbooyooyyyrgbwbbw
45,U1 L0 D2 F1 R2 ,gggowwoyygbowrroowwrrwggrbbbyybyybrrwggoorooyyyrgbwbbw
46,L0 D2 F1 R2 ,gwygwygoowrrwrroowwggwggrbbbyybyybrryyroorooygbogbwbbw
47,D2 F1 R2 ,wwywwyooowrrwrroowgggggggbbwyywyyrrrooyooyyrrgbbgbbbbb
48,F1 R2 ,wwywwyooowrrwrryrrggggggbbbrrryywyywooyooyoowgbbgbbgbb
49,R2 ,wwywwywwyrrrrrrrrrggbggbggbyywyywyywooooooooogbbgbbgbb
50,D0 F1 B1 D0 R1 L1 D1 R1 U0 D2 ,orybwygbbrorwrgbyrywwggorrobbwbygoywyoowowgyyggbobrgrw
51,F1 B1 D0 R1 L1 D1 R1 U0 D2 ,orybwygbbrorwrgrroywwggogyyobbyybwgwyoowowgrwggbobrbyr
52,B1 D0 R1 L1 D1 R1 U0 D2 ,orybwyrwrborbrgorowoywgyyggowwyybwgwyobwobgrgggbobrbyr
53,D0 R1 L1 D1 R1 U0 D2 ,gwybwyrwrboobrrorywoywgyyggowwyybogrwobgobwrgbrrgbygob
54,R1 L1 D1 R1 U0 D2 ,gwybwyrwrboobrryggwoywgywrgoyogywrbwwobgobgobbrrgbyory
55,L1 D1 R1 U0 D2 ,gwobwgrwborgorgbbywoywgywrroyygyyrbgwobgobgobwrrwbyory
56,D1 R1 U0 D2 ,wwowwgwwborgorgbbyooyggyrrryyyyyyrbgbbbooowggwrrwbborg
57,R1 U0 D2 ,wwowwgwwborgorgorgooyggybbyyygyybyyrbbbooorrrwrrwbbwgg
58,U0 D2 ,wwwwwwwwwgggrrroooooogggbbbyyyyyyyyybbbooorrrrrrbbbggg
59,D2 ,wwwwwwwwwrrrrrroooggggggbbbyyyyyyyyyoooooorrrbbbbbbggg
60,R1 B2 U1 L1 D2 F0 U1 L0 D2 B2 ,grwrwbryyrworroboowbbwgbbgooywryyywywgboogrwygyrgbbgog
61,B2 U1 L1 D2 F0 U1 L0 D2 B2 ,grgrwgrygooowrorrbwbwwgbbgyoybrybywowgboogrwyyyrybbwog
62,U1 L1 D2 F0 U1 L0 D2 B2 ,owyrwgrygoorwrorrwwbwwgbbgyoybrybgrgbgboogowygowbbyryy
63,L1 D2 F0 U1 L0 D2 B2 ,yggwwyorrwbwwrorrwbgbwgbbgyoybrybgrggowoogowyoorbbyryy
64,D2 F0 U1 L0 D2 B2 ,bggwwybrrwbwwrorrwogbrgbggyyybyybrrgwgyoowgooooobbwryy
65,F0 U1 L0 D2 B2 ,bggwwybrrwbwwrogooogbrgbryygrrbyybyywgyoowrrwooobbwggy
66,U1 L0 D2 B2 ,bggwwywwybbwrroroorroyggybbgwwbyybyywggoorrrrooobbwggy
67,L0 D2 B2 ,gyygwwbwwrrorroroowggyggybbgwwbyybyyooooorrrrbbwbbwggy
68,D2 B2 ,yyywwwwwwrrorrorooggggggbbbwwwyyyyyyrooroorrobbbbbbggg
69,B2 ,yyywwwwwwrrorrorrogggggggggyyyyyywwwroorooroobbbbbbbbb
70,B1 D0 F2 B2 R1 U2 F1 L1 D1 R0 ,bbrbwgrrgywgyrgwwwgwoygorrbbyowyogororwgogwbyyyyobrbbo
71,D0 F2 B2 R1 U2 F1 L1 D1 R0 ,wgobwgrrgywbyrbwwrgwoygorrbbyowyowgggrwoogrbyyroybbyob
72,F2 B2 R1 U2 F1 L1 D1 R0 ,wgobwgrrgywbyrbrrbgwoygorbywwbgyygoogrwoogyobyroybbwwr
73,B2 R1 U2 F1 L1 D1 R0 ,wgobwgbwwbwbgrbwrbybrogyowggrrgyygoogrrooyyoyyroybbwwr
74,R1 U2 F1 L1 D1 R0 ,oogbwgbwwbwygrowrgybrogyowggrrgyyogwbrrboyboyrwwbbyory
75,U2 F1 L1 D1 R0 ,ooobwbbwryogwrrbgwybgoggowwgrrgyyoggbrrboyboywwwybyrry
76,F1 L1 D1 R0 ,rwbbwbooobrrwrrbgwwwwoggowwgrrgyyoggyogboyboyybgybyrry
77,L1 D1 R0 ,rwbbwbbwbrrrrrrggwwgwwgwwoogyygyyoggyooboobooybgybyrry
78,D1 R0 ,wwbwwbwwbrrrrrrggwggwggwoooyyyyyygggooooooybbybbybbrrr
79,R0 ,wwbwwbwwbrrrrrrrrrggwggwggwyygyygyygoooooooooybbybbybb
80,F2 R1 D0 L1 F0 R1 U0 B0 L1 R0 ,ybrbwgobowyyyrrygwgwgrgorgowrboywgobgyyooyrwbbrrwbgobw
81,R1 D0 L1 F0 R1 U0 B0 L1 R0 ,ybrbwgbrwbyyyrrygwogrogrgwgobooywgobgyyooyrwwbrrwbgobw
82,D0 L1 F0 R1 U0 B0 L1 R0 ,ybobwwbrbyrwyrgbyyogrogggwwobroyrgoggyyooyrwwbrrwbgobw
83,L1 F0 R1 U0 B0 L1 R0 ,ybobwwbrbyrwyrggwwogroggrwwgoooybgrrgyyooyobwbrrwbgbyy
84,F0 R1 U0 B0 L1 R0 ,oboowwrrbyrwyrggwwggrogggwwyoogybrrryywyobgoobrbwbbbyy
85,R1 U0 B0 L1 R0 ,oboowwobwrrwrrgbwwgogwggwgrgyygybrrryyyyoogoobrbwbbbyy
86,U0 B0 L1 R0 ,obbowwobbwgwrrwrrbgoowgwwgwgyggygrrryyyyoogoorrbbbbyyy
87,B0 L1 R0 ,ooobwbbwbrrbrrwrrbwgwwgwwgwgyggygrrrgooyoogooyyybbbyyy
88,L1 R0 ,bwbbwbbwbrrrrrrrrrwgwwgwwgwgyggyggygoooooooooybyybyyby
89,R0 ,wwbwwbwwbrrrrrrrrrggwggwggwyygyygyygoooooooooybbybbybb
90,U2 R0 B2 F0 R2 B1 F0 D2 U0 B2 ,oyyrwyrrrwbrorgoobgbbggyooywwgyygoorywwworwrgggbwbbybb
91,R0 B2 F0 R2 B1 F0 D2 U0 B2 ,rrrywryyoywworgoobggbggyooywwgyygoorwbrworwrggbbwbbybb
92,B2 F0 R2 B1 F0 D2 U0 B2 ,rrbywyyyyooyorwbgwggggggoorwwyyywoogwbrworwrgobbrbbrbb
93,F0 R2 B1 F0 D2 U0 B2 ,gooywyyyyooworwbgwggggggoorwwyyywbrrwbrworyrgbbrbbrbbo
94,R2 B1 F0 D2 U0 B2 ,gooywygrryowyrwygwoggoggrggbooyywbrrwbwwowyrybbrbbrbbo
95,B1 F0 D2 U0 B2 ,gooywwgrrwgywrywoyogbogbrgbbooyyybrrwbwwowyrygbrgbrgbo
96,F0 D2 U0 B2 ,ywwywwgrrwggwrowooogbogbrgbbooyyyyyybbwrowrryrrobbbggg
97,D2 U0 B2 ,ywwywwywwgggrrorooroogggbbbwwwyyyyyybbbroorrorrobbbggg
98,U0 B2 ,ywwywwywwgggrrorrorooggggggyyyyyywwwbbbrooroorrobbbbbb
99,B2 ,yyywwwwwwrrorrorrogggggggggyyyyyywwwroorooroobbbbbbbbb
