,mvt,rbk_str
0,D0 B0 F1 U0 B0 D0 F0 R0 B0 L0 ,rbwywrywgywbgrbgwrbgorgogbrorwyyoyobbborogrgwooywbywyg
1,B0 F1 U0 B0 D0 F0 R0 B0 L0 ,rbwywrywgywbgrbgbrbgorgorgwyyooyrbowbborogwygooywbygwr
2,F1 U0 B0 D0 F0 R0 B0 L0 ,bbrywrywgywwgrogbbbgorgorgwyyooyrbrwwbobogryggwowboryy
3,U0 B0 D0 F0 R0 B0 L0 ,bbrywryggowwyroybboowgggbrroggoyrbrwwbgbowryygwowboryy
4,B0 D0 F0 R0 B0 L0 ,yybgwbgrrgwoyroybbowwgggbrroggoyrbrwoowbowryywbgwboryy
5,D0 F0 R0 B0 L0 ,oobgwbgrrgwwyrrybbowwgggbrroggoyrobrbowyowyyyrwwybbyog
6,F0 R0 B0 L0 ,oobgwbgrrgwwyrrbrrowwgggyyyooobygrrgbowyowyogrwwybbybb
7,R0 B0 L0 ,oobgwbgwwgwwrrrrrrygoygwygwbygbygrrgbooyooyoorwwybbybb
8,B0 L0 ,ooogwwgwwrrgrrwrrwyggyggyggbyybyyrrrbooyooyoowwwbbbbbb
9,L0 ,gwwgwwgwwrrrrrrrrryggyggyggbyybyybyyooooooooobbwbbwbbw
10,U2 B0 L1 F1 R0 U1 F2 D1 U2 R1 ,orgwwbwbowoowrgrorbygygoowgbgybygrgyyrrboowwwyybrbrbyg
11,B0 L1 F1 R0 U1 F2 D1 U2 R1 ,obwbwwgroyrrwrgroryybygoowgbgybygrgywooboowwwbygrbrbyg
12,L1 F1 R0 U1 F2 D1 U2 R1 ,rgrbwwgroyrywrgroryybygoowgbgybygwbwwoobooowwbrbybygrg
13,F1 R0 U1 F2 D1 U2 R1 ,ygrywworoyrywrgrorbybbgowwgggyyygbbwoowoowwbobrgybbgrr
14,R0 U1 F2 D1 U2 R1 ,ygrywwywryrygrggorbogygwbbwwwoyygbbwooooorwbobrgybbgrr
15,U1 F2 D1 U2 R1 ,yggywwywwggyorrrgybooyggbbwwwgyyybbbooooorwborrgwbbrrr
16,F2 D1 U2 R1 ,gwwgwwyyybooorrrgyoooyggbbwwwgyyybbbrrgoorwboggywbbrrr
17,D1 U2 R1 ,gwwgwwgwwooorrrggywbbggyoooyyyyyybbbrrrooowbbggywbbrrr
