,mvt,rbk_str
0,B0 F2 D0 L1 B1 U2 F2 R1 L2 B2 ,goygwyobwbobrrrbgoworbgggboyywwyogwbwygyorygorwrwbrybr
1,F2 D0 L1 B1 U2 F2 R1 L2 B2 ,brogwyobwbobrrwbggworbgggboyywwyowyyyygoorggoywrbbwrrr
2,D0 L1 B1 U2 F2 R1 L2 B2 ,brogwywyyoobrrwgggobgggbrowwbowyowyyyyboorggbywrbbwrrr
3,L1 B1 U2 F2 R1 L2 B2 ,brogwywyyoobrrwrowobgggbggbwwwyybyooyyboorrrrywrbbwggg
4,B1 U2 F2 R1 L2 B2 ,orogwygyyoobrrwrowwbgygbygbgwwwybroobrryoryorywwbbgggb
5,U2 F2 R1 L2 B2 ,yybgwygyyooorrrroowbgygbygbgwwwybwwbrrrooroorwgbwbgybg
6,F2 R1 L2 B2 ,yygywgbyyrrrrrrroowgbygbygbgwwwybwwboooooroorwbgwbgybg
7,R1 L2 B2 ,yygywgwwgrrrrrrooobgybgybgwyybwybwwboorooroorwbgwbgybg
8,L2 B2 ,yyyywwwwwrrorrorrobggbggbggyyywyywwwoorooroorbbgbbgbbg
9,B2 ,yyywwwwwwrrorrorrogggggggggyyyyyywwwroorooroobbbbbbbbb
10,D0 R2 L2 U2 R0 L0 U2 B2 L2 U1 ,oybbwgrwgrrrrrowoywrywgygogobryywbggbrbgobygwybwybwooo
11,R2 L2 U2 R0 L0 U2 B2 L2 U1 ,oybbwgrwgrrrrrogogwrywgyygwbyogybgwrbrbgoboooybwybwwoy
12,L2 U2 R0 L0 U2 B2 L2 U1 ,oyobwbrwrgogorrrrrwrwwgyygybybgyggwgbrbgobooowbwybwyoy
13,U2 R0 L0 U2 B2 L2 U1 ,byogwbgwrgogorrrrryrwwgywgyoybbygrwgooobogbrbwbyybwyow
14,R0 L0 U2 B2 L2 U1 ,rwgbwgoyboooorrrrrwbywgywgyoybbygrwggogbogbrbyrwybwyow
15,L0 U2 B2 L2 U1 ,rwybwyoyyroorrorrowbbwggwggoyybyyrwygogbogbrbbrwgbwgow
16,U2 B2 L2 U1 ,wwywwywyyroorrorrorbbbggoggwyywyywwybbgroobggbrrgbbgoo
17,B2 L2 U1 ,yywywwywwbbgrrorrobrrbggoggwyywyywwyrooroobggrbbgbbgoo
18,L2 U1 ,ywwywwywwbbbrrrrrrbrrbggoggwyywyywyyoooooogggoogbbgbbr
19,U1 ,wwwwwwwwwbbbrrrrrrrrrggggggyyyyyyyyygggooooooooobbbbbb
20,D0 R0 B0 F1 R1 U0 L2 D1 U2 L1 ,roywworoobbbrrrwwbgywogggyoybggybgwywgwyogyyorwbbbrorr
21,R0 B0 F1 R1 U0 L2 D1 U2 L1 ,roywworoobbbrrrgyogywoggyyoggywybybgwgwyogorrrwbbbrwwb
22,B0 F1 R1 U0 L2 D1 U2 L1 ,rowwwgroogrbyrborbgyyogbyygggwwybybrwgwyogorrowbobrywb
23,F1 R1 U0 L2 D1 U2 L1 ,bbbwwgroogrryrborygyyogbyygggwwybwyowgwoogrrryoowbwbrb
24,R1 U0 L2 D1 U2 L1 ,bbbwwggyowrrgrbgryybgygygoywgrwybwyowgoooorrryoowbwbrb
25,U0 L2 D1 U2 L1 ,bbbwwwgyyrbyrrrwggybbygggoowggwyywyywgoooorrrooobbwrrb
26,L2 D1 U2 L1 ,gwbywbywbooorrrwggrbyygggoowggwyywyyybbooorrrwgobbwrrb
27,D1 U2 L1 ,wwbwwbwwbooorrrwggbbywggooogggyyyyyyrrrooobbywggbbyrrr
28,U2 L1 ,wwbwwbwwbooorrrrrrbbywggwgggyygyygyyrrroooooowggbbybby
29,L1 ,bwwbwwbwwrrrrrrrrrwggwggwgggyygyygyyooooooooobbybbybby
30,U2 L2 D0 U1 F0 R2 D1 L2 B2 R1 ,byrywryygowwwrryrooowggobrryggoybowwrbgwoobbrggwybgbby
31,L2 D0 U1 F0 R2 D1 L2 B2 R1 ,gyyrwyrybrbgwrryroggwggobrryggoybowwowwwoobbroowybgbby
32,D0 U1 F0 R2 D1 L2 B2 R1 ,yyyowyoybrbgwrryroygwggowrrgggrybrwwrbboowwwooobybgbbg
33,U1 F0 R2 D1 L2 B2 R1 ,yyyowyoybrbgwrrwrrygwggowworrgwygwbgrbboowbbgoobybgyro
34,F0 R2 D1 L2 B2 R1 ,yybywyyooygwwrrwrrrbbggowworrgwygwbgooboowbbgrbgybgyro
35,R2 D1 L2 B2 R1 ,yybywygwbygworrorrwgrwgboobwwywygwbgooroorbbgrbgybgyro
36,D1 L2 B2 R1 ,yyyywggwgrrorrowgywgywgyoorwwbwyywbbooroorbbgbbgbbgrro
37,L2 B2 R1 ,yyyywggwgrrorrorrowgywgywgybybwybwwwoorooroorbbgbbgbbg
38,B2 R1 ,byywwgwwgrrorrorroggyggyggyyybyybgwwroorooroobbwbbwbbw
39,R1 ,wwgwwgwwgrrrrrrrrrggyggyggyyybyybyybooooooooowbbwbbwbb
40,D2 B0 L2 R2 D0 U0 L1 F1 U0 B1 ,oborwogbgrbgyrwyrrywyygbyobbwroywbywbgogoowgowrwgbygrr
41,B0 L2 R2 D0 U0 L1 F1 U0 B1 ,oborwogbgrbgyrwwgoywyygbgrrwybwyorwbbgogooyrrwrwgbyyob
42,L2 R2 D0 U0 L1 F1 U0 B1 ,gworwogbgrbbyrwwgrywyygbgrrwybwyobgyogobooorrygwobrbyw
43,R2 D0 U0 L1 F1 U0 B1 ,wwowwobbgrbbyrwwgrwwyrgbwrrgybryoggyrrooobogoyggobybyy
44,D0 U0 L1 F1 U0 B1 ,wwbwwobbyrgwwrybbrwwbrgowrygyoryogggrrooobogorggbbyyyy
45,U0 L1 F1 U0 B1 ,wwbwwobbyrgwwrywrywwbrgoogogrggyygoorrooobyyyrggbbybbr
46,L1 F1 U0 B1 ,bwwbwwyobrggwrywryrgwrgoogogrggyygoowwboobyyyrrobbybbr
47,F1 U0 B1 ,rwwrwwoobrggwrywryggwggoggorrgyyyooobbywoywoyrrybbbbbb
48,U0 B1 ,rwwrwwrwwgggrryrrywooggggggyyyyyyooobbbwoowoorrybbbbbb
49,B1 ,rrrwwwwwwrryrryrrygggggggggyyyyyyooowoowoowoobbbbbbbbb
50,B0 D1 R0 U2 D0 L2 U2 R0 D1 B1 ,oowwwywwybgrbrrrrgggobgorowbygbygorygoowowwyybgybbrryb
51,D1 R0 U2 D0 L2 U2 R0 D1 B1 ,rrgwwywwybgybrrrroggobgorowbygbyggwwwoooowoyyrbbybgbry
52,R0 U2 D0 L2 U2 R0 D1 B1 ,rrgwwywwybgybrrbryggobgorroggwyywbbgwoooowrowrbbybgoyy
53,U2 D0 L2 U2 R0 D1 B1 ,rrowwowwobbbrrgyryggwbgwrrgggoyyybbrwoooowrowybbybggyy
54,D0 L2 U2 R0 D1 B1 ,owwowworrwoorrgyryybbbgwrrgggoyyybbrbbboowrowggwybggyy
55,L2 U2 R0 D1 B1 ,owwowworrwoorrgrrgybbbgwrowbygbygryobbboowgyyggwybgyry
56,U2 R0 D1 B1 ,bwwbwwrrrwoorrgrrgybbggwwowoygoygoyoyygwoobbbggrybbyry
57,R0 D1 B1 ,rrrwwbwwbyygrrgrrgggrggwwowoygoygoyowoowoobbbybbybbyry
58,D1 B1 ,rrrwwwwwwrryrrygggggggggwoooyyoyyoyywoowoobbbbbbbbbrry
59,B1 ,rrrwwwwwwrryrryrrygggggggggyyyyyyooowoowoowoobbbbbbbbb
60,L1 D1 U0 B0 L1 R2 F1 L2 B2 D2 ,rywbwrggbybboryoggoorogbyyybbgyyrrwygwwgowbrooowgbwrrw
61,D1 U0 B0 L1 R2 F1 L2 B2 D2 ,oywowrygbybboryoggborygbryywbgwyrwwywwoworggbooggbbrrr
62,U0 B0 L1 R2 F1 L2 B2 D2 ,oywowrygbybboryrrrborygbogggrybywwwwwwoworryyooggbbggb
63,B0 L1 R2 F1 L2 B2 D2 ,yoogwybrwoogoryrrrybbygbogggrybywwwwborworryywwogbbggb
64,L1 R2 F1 L2 B2 D2 ,gyrgwybrwooworwrrwybbygbogggrybywbwroorooryyyggwgbwbbo
65,R2 F1 L2 B2 D2 ,yyrywyorwooworwrrwgbbbgbbggorywywwwrrryooyooyggbgbgbbg
66,F1 L2 B2 D2 ,yyyywworrwrrwrowoogbbbggbggorrwyywwwrryooyooyggbbbgbbg
67,L2 B2 D2 ,yyyywwwwwrrrrroooobggbgggbbyyywyywwwrrrooroooggbbbgbbg
68,B2 D2 ,yyywwwwwwrrrrrooooggggggbbbyyyyyywwwoooroorrrgggbbbbbb
69,D2 ,wwwwwwwwwrrrrrroooggggggbbbyyyyyyyyyoooooorrrbbbbbbggg
70,U2 D1 L2 U1 B1 R0 L0 F1 R1 B0 ,gwywwbwgbyygrrrbyooyrbggggwworoyryggrbboooowrorybbywwb
