,mvt,rbk_str
0,U0 B0 F1 L0 D2 F0 R1 B2 U2 R2 ,bborworbyobbrryrobgwgggwggyoybgyyyoorywoowrrwyrwbbgwwg
1,B0 F1 L0 D2 F0 R1 B2 U2 R2 ,rrbbwbyooyrwrryrobobbggwggyoybgyyyoogwgoowrrwrywbbgwwg
2,F1 L0 D2 F0 R1 B2 U2 R2 ,wybbwbyooyrorroroyobbggwggyoybgyygorbwgrowrrwwbrwbyggw
3,L0 D2 F0 R1 B2 U2 R2 ,wybbwbyrrbroyroooybwybggogggwwgyygorbworoorrywbrwbyggw
4,D2 F0 R1 B2 U2 R2 ,wybywbrrrbroyroooywwybggyggbwwbyyoorrrbrowyoowbgwbgggg
5,F0 R1 B2 U2 R2 ,wybywbrrrbroyroyoowwybgggggrooyybwwbrrbrowooywbgwbgygg
6,R1 B2 U2 R2 ,wybywbywbrrorroroogbwggwggyyybyybwwbrrrrooooowbgwbgygg
7,B2 U2 R2 ,wyyywwywwooorrorrrgbbggbggbyywyywwwyrrrrooooobbgbbgbgg
8,U2 R2 ,ywwywwywwooorrrrrrgbbggbggbyywyywyywrrrooooooggbgbbgbb
9,R2 ,wwywwywwyrrrrrrrrrggbggbggbyywyywyywooooooooogbbgbbgbb
10,L2 U2 R1 L0 F2 D2 R0 L1 D0 F2 ,yywwwwwwwgrrrrrrbbrbobggbggwyywyyyyyoggoooboobogbbgorr
11,U2 R1 L0 F2 D2 R0 L1 D0 F2 ,wywwwwywwgrrrrrrbbrboggggggyyywyywyyooboooggobobbbborr
12,R1 L0 F2 D2 R0 L1 D0 F2 ,wwywwwwywoobrrrrbbbobggggggyyywyywyygrroooggorbobbborr
13,L0 F2 D2 R0 L1 D0 F2 ,wwowwbwyrbrborborrboyggwggwyybwygwyggrroooggoyboybbyrr
14,F2 D2 R0 L1 D0 F2 ,rwobwboyrbrborborrwoywgwwgwbybgyggyggoggoroorybwybwyry
15,D2 R0 L1 D0 F2 ,rwobwbbybrrbrrbgrrwgwwgwyowryogyggyggoogoooobybwybwyry
16,R0 L1 D0 F2 ,rwobwbbybrrbrrboobwgwwgwyrygyggygoyrgoogoogrrybwybwyow
17,L1 D0 F2 ,rwwbwwbyyorrorrbbbwggwggyrrgyygyyoyygoogoogrrbbwbbwoow
18,D0 F2 ,wwwwwwyyyorrorrbbbggggggorrwyywyywyyooroorgggbbbbbboor
19,F2 ,wwwwwwyyyorrorrorrgggggggggwwwyyyyyyoorooroorbbbbbbbbb
20,D0 U1 B0 R0 L0 U2 B0 F0 D2 U2 ,bbyowobgwrworrroyrwwgygwyyggbwoyoggyrbororogrbwwgbbbyy
21,U1 B0 R0 L0 U2 B0 F0 D2 U2 ,bbyowobgwrworrryygwwgygwogrgoggybyowrbororbyybwwgbboyr
22,B0 R0 L0 U2 B0 F0 D2 U2 ,yowbwgbobwwgrrryygrboygwogrgoggybyowbwwrorbyyrwogbboyr
23,R0 L0 U2 B0 F0 D2 U2 ,grgbwgbobwwwrroyyyrboygwogrgoggybbrbwwwooryyyogrybwrbo
24,L0 U2 B0 F0 D2 U2 ,grobwwboryrwyrwyowrbgygbogbgorgyybrowwwooryyybgrgbwgbo
25,U2 B0 F0 D2 U2 ,orowwwroryrwyrwyowgbgbgbbgbroryyyoroyowyowyrwbgbgbggbg
26,B0 F0 D2 U2 ,rorwwworoyowyrwyowbgbbgbbgbroryyyoroyrwyowyrwgbggbggbg
27,F0 D2 U2 ,wwwwwworoyooyrryoobgbbgbbgbroryyyyyyrrwoowrrwgggbbbggg
28,D2 U2 ,wwwwwwwwwooorrrooobbbgggbbbyyyyyyyyyrrrooorrrgggbbbggg
29,U2 ,wwwwwwwwwooorrrrrrbbbggggggyyyyyyyyyrrroooooogggbbbbbb
30,R0 D1 U2 F1 D0 B1 L1 D1 R1 F1 ,ooggwryrgrbrorygoorwyggboowgyogygwbbbwbworryywwwrbbyyb
31,D1 U2 F1 D0 B1 L1 D1 R1 F1 ,ooygwbyrwgororboyrrwogggoobgyygyrwbwbwbworryygwwrbbgyb
32,U2 F1 D0 B1 L1 D1 R1 F1 ,ooygwbyrwgororbgybrwogggoyryrwyybggwbwbworoobgwwrbbryy
33,F1 D0 B1 L1 D1 R1 F1 ,wrybwgyoobwborbgybgwwgggoyryrwyybggwgorworoobrworbbryy
34,D0 B1 L1 D1 R1 F1 ,wrybwgbogwwbrrbyybwgrwgyggorrbyybggwgoowooooyrworbbryy
35,B1 L1 D1 R1 F1 ,wrybwgbogwwbrrbggowgrwgyooygyrgyrwbbgoowooryyrworbbyyb
36,L1 D1 R1 F1 ,rwgbwgbogwwwrrrggywgrwgyooygyrgyrobbwooboobyyobbwbyrry
37,D1 R1 F1 ,wwgwwgoogwwwrrrggyggrggyooyyyryyrbbbooyooywbbobbwbbrrr
38,R1 F1 ,wwgwwgoogwwwrrrrrrggrggyggyrrbyybyybooyooyooyobbwbbwbb
39,F1 ,wwwwwwooowrrwrrwrrgggggggggrrryyyyyyooyooyooybbbbbbbbb
40,U0 R1 D2 L0 R0 F2 B0 U0 F2 B2 ,byrrwwggrygbwrwwryoogygbybbroogyygwgobwboorrbwgyrbyoow
41,R1 D2 L0 R0 F2 B0 U0 F2 B2 ,grbgwyrwrwgywrwwryygbygbybbroogyygwgoogboorrbobwrbyoow
42,D2 L0 R0 F2 B0 U0 F2 B2 ,grogwrrwoywygrrwwwygbygyybrrobgybgwboogboorrbgbwybyoow
43,L0 R0 F2 B0 U0 F2 B2 ,grogwrrwoywygrrrrbygbygyoowbwgbygboroogboowwwgbwybyybr
44,R0 F2 B0 U0 F2 B2 ,rroywrwwoywygrrrrbggbggyrowywgyygoorwbowoowoggbbybbybb
45,F2 B0 U0 F2 B2 ,rrbywywwwrgyrrwbryggggggrorywyyyyoogwbowoowogobbrbbobb
46,B0 U0 F2 B2 ,rrbywyywyggyorworyrorggggggwwwyyyoogwbbworworobbrbbobb
47,U0 F2 B2 ,ywyywyywygggoroorororggggggwwwyyywwwbbbrorrororobbbbbb
48,F2 B2 ,yyywwwyyyorooroorogggggggggwwwyyywwwrorrorrorbbbbbbbbb
49,B2 ,yyywwwwwwrrorrorrogggggggggyyyyyywwwroorooroobbbbbbbbb
50,B0 R1 D2 F1 B2 D2 L2 U2 F1 B1 ,rywywbywgyrorrrrybbbobgyggyrobwygwoowoowoogrygbbgbgwwr
51,R1 D2 F1 B2 D2 L2 U2 F1 B1 ,orbywbywgyrorrorywbbobgyggyrobwygwwgwooyoorrywggwbbrgb
52,D2 F1 B2 D2 L2 U2 F1 B1 ,orrywwywwoowrryyrrbbbbgbgggroowyywwywooyoorryggggbbbgb
53,F1 B2 D2 L2 U2 F1 B1 ,orrywwywwoowrryrrybbbbgbbgbywwyywoorwooyooyrrggggbbggg
54,B2 D2 L2 U2 F1 B1 ,orrywworrwowwryyrybbbbggbbbooryywoorwowyowyryggggbbggg
55,D2 L2 U2 F1 B1 ,rooywworrwoywryyrwbbbbggbbbooryywrroyowyowwrygggbbgggg
56,L2 U2 F1 B1 ,rooywworrwoywrywrybbbbgggggorrwyyrooyowyowyrwgggbbgbbb
57,U2 F1 B1 ,ooowwwrrrwoywrywrybbbggggggrrryyyooowrywoywoygggbbbbbb
58,F1 B1 ,rrrwwwooowrywrywrygggggggggrrryyyooowoywoywoybbbbbbbbb
59,B1 ,rrrwwwwwwrryrryrrygggggggggyyyyyyooowoowoowoobbbbbbbbb
60,F0 L0 R1 D0 L2 F1 D2 U1 L2 B0 ,gyrgwrbgbrwwwrbbwgoywbgobrrwgybybgworoyroywrogoyobyygo
