,mvt,rbk_str
0,R1 U0 B2 L1 F1 R2 D0 U1 F0 L0 ,oygbwrwwobwrbrgyyybowrgwybgbroryoygrworyogbyowbgwbggor
1,U0 B2 L1 F1 R2 D0 U1 F0 L0 ,oygbwwwwwrgywrybbybogrgrybobrwrywyggworyogbyorbgobgoor
2,B2 L1 F1 R2 D0 U1 F0 L0 ,wbowwywwgrbgwrybbyrgyrgrybobrwrywyggbogyogbyoworobgoor
3,L1 F1 R2 D0 U1 F0 L0 ,ggywwywwgrbbwrybbbrgyrgrybobrwrywobwyogyoggyoroogborow
4,F1 R2 D0 U1 F0 L0 ,rgyrwyywgrbbwrybbbbgyrgrobowrwoywobwggoooyyygrowgbwrog
5,R2 D0 U1 F0 L0 ,rgyrwyrwbwbbrrywbbyroggbbrooygoywobwgggoowyyyrowgbwrog
6,D0 U1 F0 L0 ,rggrwwrwwbbwyrrbbwyrrgggbrroyyoyyobbgggoowyyyoowbbwoog
7,U1 F0 L0 ,rggrwwrwwbbwyrrbrryrrgggyyyooobyybyygggoowoogoowbbwbbw
8,F0 L0 ,gwwgwwrrryrryrrbrrggggggyyyooobyybyyoowoowoogbbwbbwbbw
9,L0 ,gwwgwwgwwrrrrrrrrryggyggyggbyybyybyyooooooooobbwbbwbbw
10,U1 R2 B0 L0 D2 U2 L2 R1 U1 B1 ,rbrwwrwwwrggwrrroooggbgrbbyoobgyygbywobyoywoyywbybggro
11,R2 B0 L0 D2 U2 L2 R1 U1 B1 ,rrwbwwrwwoggwrrroowobbgrbbyoobgyygbyywbyoywoyrggybggro
12,B0 L0 D2 U2 L2 R1 U1 B1 ,rrbbwyrwyoorrrwggowogbgybbroowgywgbwywbyoywoyyggrbgbro
13,L0 D2 U2 L2 R1 U1 B1 ,rwobwyrwyoowrrbgggwogbgybbroowgywyywbwbroyroybryrbgogg
14,D2 U2 L2 R1 U1 B1 ,gwogwyywyoowrrbgggrogbgyrbrwowbywbywrrboowyybbryrbgogo
15,U2 L2 R1 U1 B1 ,gwogwyywyoowrrbyybrogbgyogowybwybwowrrboowgggbryrbgrbr
16,L2 R1 U1 B1 ,ywyywgowgrrbrrbyybbrybgyogowybwybwowoowoowgggrogrbgrbr
17,R1 U1 B1 ,wwywwgwwgrrbrrbyybrryggyggoyybyyboowgggwoowooroorbbrbb
18,U1 B1 ,wwrwwrwwrbbbrryrryrryggggggyyyyyyooogggwoowoowoobbbbbb
19,B1 ,rrrwwwwwwrryrryrrygggggggggyyyyyyooowoowoowoobbbbbbbbb
